direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,randomInstr,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.031422899999597576,0.05914589999883901,0.05914589999883901,0.6482829000015045,space,0.5776224999935948,None,,,,,,,,,,,,,,,,,,,,,sub-094495,001,2024-03-08_20h23.01.551,random_dot,2023.2.3,60.60907269187038,2024-03-08 20h23.05.761312 +0100,
right,right,0,0,0,1,,,,,,0.6645076999993762,,,,,,,,,0.6526786000031279,1.84882700000162,2.6493851999985054,2.633112000003166,2.633123500003421,2.6493851999985054,2.6493851999985054,2.6493851999985054,3.8327618000039365,left,0,1.1786282000030042,None,3.8331471999990754,3.848712400002114,4.350799500003632,4.333116499998141,,,,sub-094495,001,2024-03-08_20h23.01.551,random_dot,2023.2.3,60.60907269187038,2024-03-08 20h23.05.761312 +0100,
left,left,0,1,1,0,,,,,,4.350799500003632,,,,,,,,,4.333323099999689,4.684410800000478,5.4850465999988955,5.468809199999669,5.468820900001447,5.4850465999988955,5.4850465999988955,5.4850465999988955,5.7674746999982744,left,1,0.2715347999983351,None,5.7677081000001635,5.78359630000341,,6.269265200004156,,,,sub-094495,001,2024-03-08_20h23.01.551,random_dot,2023.2.3,60.60907269187038,2024-03-08 20h23.05.761312 +0100,
left,left,1,0,2,0,,,,,,6.285858600000211,,,,,,,,,6.269487999998091,7.069762400002219,7.8704302000041935,7.85244160000002,7.852453899999091,7.8704302000041935,7.8704302000041935,7.8704302000041935,8.219601500000863,left,1,0.33486299999640323,None,8.219830599999113,8.237321900000097,,8.737787400001253,,,,sub-094495,001,2024-03-08_20h23.01.551,random_dot,2023.2.3,60.60907269187038,2024-03-08 20h23.05.761312 +0100,
right,right,1,1,3,1,,,,,,8.75288890000229,,,,,,,,,8.73798479999823,8.819628500001272,9.620292300001893,9.605524200000218,9.605537199997343,9.620292300001893,9.620292300001893,9.620292300001893,10.187742800000706,left,0,0.5600128000005498,None,10.187976599998365,10.203937899997982,10.704338299998199,10.688189200001943,,,,sub-094495,001,2024-03-08_20h23.01.551,random_dot,2023.2.3,60.60907269187038,2024-03-08 20h23.05.761312 +0100,
,,,,,,,,,,,10.704338299998199,,,,,,,,,,,,,,,,,,,,,,,,,,10.692706900001212,10.704338299998199,10.704338299998199,,,,,,,,
