direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,randomInstr,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.027626900002360344,0.05343949999951292,0.05343949999951292,1.0300385000009555,space,0.9616302000067662,None,,,,,,,,,,,,,,,,,,,,sub-065029,001,2024-03-08_20h19.32.194,random_dot,2023.2.3,59.93471910313378,2024-03-08 20h19.37.355348 +0100,
right,right,0,0,0,1,,,,,,1.0427186000015354,,,,,,,,,1.0342143000016222,1.1446110000033514,1.943565400004445,1.927338100002089,1.9273541000002297,1.943565400004445,1.943565400004445,1.943565400004445,2.6449107000007643,right,1,0.695388100000855,None,2.645300000003772,2.663202399999136,3.146443099998578,,,,sub-065029,001,2024-03-08_20h19.32.194,random_dot,2023.2.3,59.93471910313378,2024-03-08 20h19.37.355348 +0100,
left,left,0,1,1,0,,,,,,3.1612768999984837,,,,,,,,,3.146642100000463,3.945317600002454,4.74770140000328,4.729558099999849,4.729570700001204,4.74770140000328,4.74770140000328,4.74770140000328,4.897059100003389,right,0,0.14725670000188984,None,4.897294599999441,4.915093200004776,5.398323100002017,,,,sub-065029,001,2024-03-08_20h19.32.194,random_dot,2023.2.3,59.93471910313378,2024-03-08 20h19.37.355348 +0100,
left,left,1,0,2,0,,,,,,5.41488599999866,,,,,,,,,5.398503700002038,5.498373200003698,6.313827300000412,6.297445100004552,6.297455699997954,6.313827300000412,6.313827300000412,6.313827300000412,6.681406800002151,right,0,0.36465770000359043,None,6.681687900003453,6.699980400000641,7.197970300003362,,,,sub-065029,001,2024-03-08_20h19.32.194,random_dot,2023.2.3,59.93471910313378,2024-03-08 20h19.37.355348 +0100,
right,right,1,1,3,1,,,,,,7.214567100003478,,,,,,,,,7.198170900002879,7.981851900003676,8.78252970000176,8.766145800000231,8.76615640000091,8.78252970000176,8.78252970000176,8.78252970000176,9.033505100000184,right,1,0.24777999999787426,None,9.033773800001654,9.052078699998674,9.549775799998315,,,,sub-065029,001,2024-03-08_20h19.32.194,random_dot,2023.2.3,59.93471910313378,2024-03-08 20h19.37.355348 +0100,
,,,,,,,,,,,9.566504399997939,,,,,,,,,,,,,,,,,,,,,,,,,9.554337900000974,9.566504399997939,9.566504399997939,,,,,,,,
