direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,backgroundDots.stopped,stimulusDots.stopped,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
right,right,5,0,10,1,,,,,,,,,34.99172639999597,,,,,,,,,34.9753245000029,35.775726699997904,36.576375300006475,36.56010139999853,36.56011550000403,36.576375300006475,36.576375300006475,36.65990410000086,37.14412050000101,right,0.4686756000010064,None,37.1443622999941,37.16025179999997,,37.659245500006364,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,5,1,11,0,,,,,,,,,37.67730219999794,,,,,,,,,37.65946239999903,38.844947599995066,39.64396770000167,39.62932599999476,39.62933749999502,39.64396770000167,39.64396770000167,39.72727499999746,40.22831380000571,left,0.49715809999906924,None,40.22853880000184,40.24606869999843,,40.74657640000805,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,6,0,12,1,,,,,,,,,40.761744999996154,,,,,,,,,40.74678620000486,41.08008980000159,41.88081329999841,41.86445449999883,41.86446559999604,41.88081329999841,41.88081329999841,41.96346430000267,42.56348959999741,right,0.5960892000002787,None,42.56370810000226,42.58132789999945,,43.065261399999144,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,6,1,13,0,,,,,,,,,43.081828499998664,,,,,,,,,43.065470500005176,43.16529509999964,43.98254339999403,43.96510679999483,43.96511889999965,43.98254339999403,43.98254339999403,44.064345299993875,44.63375680000172,left,0.560030699998606,None,44.633974399999715,44.649775800004136,45.14844469999662,45.13373030000366,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,7,0,14,1,,,,,,,,,45.14844469999662,,,,,,,,,45.133923900008085,45.48373770000762,46.284428600003594,46.268066200005705,46.2680776000052,46.284428600003594,46.284428600003594,46.36788190000516,46.81724669999676,right,0.4407883999956539,None,46.81749950000085,46.83334399999876,,47.31876870000269,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,7,1,15,0,,,,,,,,,47.33537950000027,,,,,,,,,47.31899010000052,48.51969739999913,49.32031900000584,49.30235060000268,49.302361800000654,49.32031900000584,49.32031900000584,49.40212949999841,49.88606920000166,left,0.47746329999063164,None,49.88627630000701,49.90415679999569,,50.38788900000509,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,8,0,16,1,,,,,,,,,50.40293029999884,,,,,,,,,50.3881010000041,51.188511300002574,51.98929159999534,51.97292070000549,51.9729318000027,51.98929159999534,51.98929159999534,52.07269879999512,52.606893699994544,right,0.5268187000037869,None,52.607107999996515,52.62306690000696,53.123506799995084,53.107126500006416,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,8,1,17,0,,,,,,,,,53.123506799995084,,,,,,,,,53.107320700000855,53.90753500000574,54.7081765000039,54.69173619999492,54.691747599994414,54.7081765000039,54.7081765000039,54.79158180000377,55.425860200004536,left,0.6249023999989731,None,55.42608750000363,55.44206889999623,55.94257539999671,55.926118899995345,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,9,0,18,0,,,,,,,,,55.94257539999671,,,,,,,,,55.92632650000451,56.276091399995494,57.07676700000593,57.06046609999612,57.06047720000788,57.07676700000593,57.07676700000593,57.1603102000081,57.859602900003665,right,0.6876055999891832,None,57.859820900004706,57.877411499997834,,58.37797230000433,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,9,1,19,1,,,,,,,,,58.3928811000078,,,,,,,,,58.37818410000182,58.711435899997014,59.51209089999611,59.494072899993625,59.49408410000615,59.51209089999611,59.51209089999611,59.59384729999874,60.17832940000517,right,0.5738393000065116,None,60.17854959999386,60.194791000001715,,60.67979510000441,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.67983199999435,60.694616099994164,60.694616099994164,67.30241150000074,space,6.593387000000803,None,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,0,0,0,1,,,,,67.31866499999887,,,,,,,,,67.30623410000408,67.40199700000812,68.21930240000074,68.20291649999854,68.20292690000497,68.21930240000074,68.21930240000074,68.31788190000225,68.7870746999979,right,0.4664014000009047,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,0,1,1,0,,,,,68.80319210000744,,,,,,,,,68.78762220000499,69.58555479999632,70.38777790000313,70.37155199999688,70.37156349999714,70.38777790000313,70.38777790000313,70.46961260000535,70.92044210000313,left,0.44199249999655876,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,1,0,2,1,,,,,70.9384097000002,,,,,,,,,70.92084069999692,71.02168390000588,71.82585180000751,71.80466979999619,71.8046805000049,71.82585180000751,71.82585180000751,71.92027889999736,72.68830710000475,right,0.7605846999940695,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,1,1,3,0,,,,,72.70461060000525,,,,,,,,,72.68875830000616,72.78789890000189,73.58817859999544,73.57232200000726,73.57233340000676,73.58817859999544,73.58817859999544,73.67202420000103,74.4560574000061,left,0.7682066999987001,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,2,0,4,1,,,,,74.47356460000447,,,,,,,,,74.45648579999397,74.55560839999816,75.35659720000695,75.34046540000418,75.34047609999834,75.35659720000695,75.35659720000695,75.44104639999568,75.82459139999992,right,0.38248440000461414,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,2,1,5,0,,,,,75.84033679999993,,,,,,,,,75.82499470000039,76.62482080000336,77.42697149999731,77.4105428000039,77.41055440000491,77.42697149999731,77.42697149999731,77.51040210000065,78.20974659999774,right,0.6894704000005731,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
