direction,corrAns,selected_instruction,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.04487940000035451,0.07046880000052624,0.07046880000052624,0.45401350000247476,space,0.37857939999958035,None,,,,,,,,,,,,,,,,,,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,0,0,0,0,,,,,0.46995199999946635,,,,,,,,,0.45835880000231555,1.652543300002435,2.4532274000011967,2.4385484000013093,2.4385600999994494,2.4532274000011967,2.4532274000011967,2.4532274000011967,3.9044221000003745,left,1,1.4355019000031461,None,3.904782300000079,3.9206825000001118,4.4211090999997396,4.404658800001926,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,0,1,1,1,,,,,4.4211090999997396,,,,,,,,,4.404880900001444,5.605427700000291,6.406089200001588,6.389565800000128,6.389575799999875,6.406089200001588,6.406089200001588,6.406089200001588,6.523245200001838,left,0,0.10757180000291555,None,6.523488099999668,6.539799199999834,7.039943700001459,7.023480399999244,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,1,0,2,0,,,,,7.039943700001459,,,,,,,,,7.0236624000026495,8.224222299999383,9.024901000000682,9.008509600000252,9.008519900002284,9.024901000000682,9.024901000000682,9.024901000000682,9.042110900001717,left,1,0.0004149000014876947,None,9.042369500002678,9.058233700001438,9.558691900001577,9.542366800000309,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,1,1,3,1,,,,,9.558691900001577,,,,,,,,,9.54257940000025,9.642105300001276,10.442772900001728,10.426330500002223,10.426342200000363,10.442772900001728,10.442772900001728,10.442772900001728,10.693432200001553,left,0,0.23806940000213217,None,10.693689600000653,10.709636700001283,11.210019300000567,11.19361299999946,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,2,0,4,0,,,,,11.210019300000567,,,,,,,,,11.193797700001596,11.543676200002665,12.344339900002524,12.328006100000493,12.328016800001933,12.344339900002524,12.344339900002524,12.344339900002524,12.378224899999623,left,1,0.03200220000144327,None,12.3784940000005,12.394355200001883,12.894725800000742,12.878492399999232,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,2,1,5,1,,,,,12.894725800000742,,,,,,,,,12.878693400001794,14.079102499999863,14.879757500002597,14.863298000000214,14.86330799999996,14.879757500002597,14.879757500002597,14.879757500002597,15.163685600000463,left,0,0.27314929999920423,None,15.163931200000661,15.179963900001894,15.680422900000849,15.663910999999644,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,3,0,6,1,,,,,15.680422900000849,,,,,,,,,15.664094100000511,16.013969800002087,16.814692500000092,16.798189000001003,16.798198600001342,16.814692500000092,16.814692500000092,16.814692500000092,17.0154423999993,left,0,0.1862714999988384,None,17.01570400000128,17.03148780000265,17.5318920000027,17.51558610000211,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,3,1,7,0,,,,,17.5318920000027,,,,,,,,,17.5158087000018,18.31594060000134,19.116598100001283,19.100124399999913,19.100134300002537,19.116598100001283,19.116598100001283,19.116598100001283,19.383964200002083,left,1,0.2520321000010881,None,19.384224000001268,19.40011460000096,19.900566800002707,19.884284800002206,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,4,0,8,0,,,,,19.900566800002707,,,,,,,,,19.884501399999863,19.983976300001814,20.78464570000142,20.768169099999795,20.768178900001658,20.78464570000142,20.78464570000142,20.78464570000142,21.035375100000238,left,1,0.2485255000028701,None,21.03563650000069,21.051522300000215,21.551920100002462,21.535469000002195,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
