direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,randomInstr,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.028086800004530232,0.056624500000907574,0.056624500000907574,1.0441810999982408,space,0.9836765999934869,None,,,,,,,,,,,,,,,,,,,sub-048694,001,2024-03-08_20h30.54.379,random_dot,2023.2.3,59.91331741318757,2024-03-08 20h30.58.975822 +0100,
left,left,0,0,0,0,,,,,,1.0601542000003974,,,,,,,,,1.0484405000024708,1.8441724000003887,2.6448995000027935,2.6284353000010015,2.6284626000051503,2.6448995000027935,2.6448995000027935,2.6448995000027935,3.3295157000029576,right,0,0.6832397000034689,None,3.3300018000009004,3.347862000002351,3.845925100002205,,,sub-048694,001,2024-03-08_20h30.54.379,random_dot,2023.2.3,59.91331741318757,2024-03-08 20h30.58.975822 +0100,
right,right,0,1,1,1,,,,,,3.862471899999946,,,,,,,,,3.846131600002991,4.6297732000020915,5.430431699998735,5.414223400002811,5.414235500000359,5.430431699998735,5.430431699998735,5.430431699998735,5.733836200000951,right,1,0.2897281999976258,None,5.734176500001922,5.747344100003829,6.23139340000489,6.2478334000043105,,sub-048694,001,2024-03-08_20h30.54.379,random_dot,2023.2.3,59.91331741318757,2024-03-08 20h30.58.975822 +0100,
right,right,1,0,2,1,,,,,,6.2478334000043105,,,,,,,,,6.231646799998998,7.448880500000087,8.249410800002806,8.233012700002291,8.23302230000263,8.249410800002806,8.249410800002806,8.249410800002806,8.669758100004401,right,1,0.4069318000038038,None,8.670009100002062,8.683471199998166,9.167100899998331,9.183726000002935,,sub-048694,001,2024-03-08_20h30.54.379,random_dot,2023.2.3,59.91331741318757,2024-03-08 20h30.58.975822 +0100,
left,left,1,1,3,0,,,,,,9.183726000002935,,,,,,,,,9.167268900004274,9.984239800003706,10.784911900002044,10.768642000002728,10.768654100000276,10.784911900002044,10.784911900002044,10.784911900002044,11.202649200000451,right,0,0.4088532999958261,None,11.20292150000023,11.221128299999691,11.719148700001824,,,sub-048694,001,2024-03-08_20h30.54.379,random_dot,2023.2.3,59.91331741318757,2024-03-08 20h30.58.975822 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.723558500001673,,,,,,,,
