direction,corrAns,instruction_csv,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03548170000431128,0.05844880000222474,0.05844880000222474,0.6926438000009512,space,0.6227400999996462,None,,,,,,,,,,,,,,,,,,,sub-011255,001,2024-03-08_19h52.17.901,random_dot,2023.2.3,59.628549911510305,2024-03-08 19h52.21.806207 +0100,
left,left,None,0,0,0,0,0.709011200000532,,,,,,,,,0.6977079999996931,1.8929238999990048,2.6936243000018294,2.6771040000021458,2.677116400001978,2.6936243000018294,2.6936243000018294,2.6936243000018294,3.6616107000008924,right,0,0.9557087000066531,None,3.662005099999078,3.677644200004579,4.178282799999579,4.161766999997781,,sub-011255,001,2024-03-08_19h52.17.901,random_dot,2023.2.3,59.628549911510305,2024-03-08 19h52.21.806207 +0100,
right,right,None,0,1,1,1,4.178282799999579,,,,,,,,,4.161945100000594,5.362494599998172,6.163160100004461,6.1469188000046415,6.146931100003712,6.163160100004461,6.163160100004461,6.163160100004461,6.463862800002971,right,1,0.28569640000205254,None,6.464104800004861,6.479891499999212,6.980497299999115,6.9641239999982645,,sub-011255,001,2024-03-08_19h52.17.901,random_dot,2023.2.3,59.628549911510305,2024-03-08 19h52.21.806207 +0100,
right,right,None,1,0,2,1,6.980497299999115,,,,,,,,,6.964322699997865,7.064083099998243,7.864601100001892,7.848214800003916,7.848227499998757,7.864601100001892,7.864601100001892,7.864601100001892,8.16531329999998,right,1,0.2963826999985031,None,8.165570400000433,8.181449600000633,8.682109400004265,8.66545490000135,,sub-011255,001,2024-03-08_19h52.17.901,random_dot,2023.2.3,59.628549911510305,2024-03-08 19h52.21.806207 +0100,
left,left,None,1,1,3,0,8.682109400004265,,,,,,,,,8.665635800003656,9.866582100003143,10.66687020000245,10.650490799998806,10.650503000004392,10.66687020000245,10.66687020000245,10.66687020000245,10.717624600001727,right,0,0.04646719999436755,None,10.71787420000328,10.73355260000244,,11.217649700003676,,sub-011255,001,2024-03-08_19h52.17.901,random_dot,2023.2.3,59.628549911510305,2024-03-08 19h52.21.806207 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.217687100004696,,,,,,,,
