direction,corrAns,instruction_csv,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03817370000251685,0.059892600002058316,0.059892600002058316,1.1814608000022417,space,1.1027031999983592,None,,,,,,,,,,,,,,,,,,,,,,,,,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
left,left,None,0,0,0,0,,,,,1.1942683000015677,,,,,,,,,1.1858314000019163,2.3968377000019245,3.195893200001592,3.181064399999741,3.1810757999992347,3.195893200001592,3.195893200001592,3.195893200001592,4.030345999999554,right,0,0.8220955999968282,None,4.030688400001964,4.046406500001467,4.5485947000015585,4.530455100000836,,,,,,,,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
right,right,None,0,1,1,1,,,,,4.5485947000015585,,,,,,,,,4.530644800001028,5.732865800000582,6.53177290000167,6.517073900002288,6.517085899999074,6.53177290000167,6.53177290000167,6.53177290000167,6.765933099999529,right,1,0.2300879000031273,None,6.7661604000022635,6.7819918999994115,7.284085800001776,7.266133600001922,,,,,,,,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
left,left,None,1,0,2,0,,,,,7.284085800001776,,,,,,,,,7.266318100002536,8.468496699999378,9.269169900002453,9.252720799999224,9.252731299999141,9.269169900002453,9.269169900002453,9.269169900002453,9.60329289999936,left,1,0.32523139999830164,None,9.603522000001249,9.619383600002038,10.119876500000828,10.10341580000022,,,,,,,,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
right,right,None,1,1,3,1,,,,,10.119876500000828,,,,,,,,,10.10359470000185,11.304203200001211,12.104895299999043,12.088371400001051,12.088382800000545,12.104895299999043,12.104895299999043,12.104895299999043,12.170436399999744,left,0,0.05761680000068736,None,12.170674299999519,12.186553200001072,12.686838500001613,12.670643299999938,,,,,,,,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.670680600000196,12.686838500001613,12.686838500001613,13.755147500000021,space,1.0517351999988023,None,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
right,right,None,,,,,0,0,0,1,13.77110580000226,,,,,,,,,13.759175200000755,14.957243200002267,15.77277630000026,15.756460200002039,15.756471799999417,15.77277630000026,15.77277630000026,15.77277630000026,16.14214240000001,right,1,0.3654458999990311,None,,,,,,,,,,,,sub-033308,001,2024-03-08_17h01.55.002,random_dot,2023.2.3,59.932096934297185,2024-03-08 17h01.59.147810 +0100,
,,,,,,,,,,,16.158173499999975,,,,,,,,,16.14283129999967,16.256560600002558,17.05724850000115,17.042454300000827,17.042466999999306,17.05724850000115,17.05724850000115,17.05724850000115,,,,,,,,,,,,,,,,,,,,,,,,
