direction,corrAns,instruction_csv,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,speed,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.02731879999919329,0.05312129999947501,0.05312129999947501,0.9877511999984563,space,0.9278472000005422,None,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
right,right,None,0,0,0,1,,,,,1.0056555000010121,,,,,,,,,0.9925034000007145,1.0889310999991721,1.9046022000002267,1.8881016000013915,1.8881137999997009,1.9046022000002267,1.9046022000002267,1.9046022000002267,2.6387896000014734,right,1,0.7234013000015693,None,2.639172099999996,2.654984600001626,3.140746900000522,,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
left,left,None,0,1,1,0,,,,,3.157286199999362,,,,,,,,,3.1409305000015593,3.9397543000013684,4.741993799998454,4.725516700000298,4.725528700000723,4.741993799998454,4.741993799998454,4.741993799998454,5.307724099999177,left,1,0.5586798999975144,None,5.307964300001913,5.324140900000202,5.809650499999407,,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
left,left,None,1,0,2,0,,,,,5.826176499998837,,,,,,,,,5.8098371000014595,6.610323299999436,7.410909800000809,7.39438710000104,7.394398600001296,7.410909800000809,7.410909800000809,7.410909800000809,8.129006399998616,right,0,0.7136892999988049,None,8.129293699999835,8.14292209999985,8.62888749999911,8.64522020000004,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
right,right,None,1,1,3,1,,,,,8.64522020000004,,,,,,,,,8.629099199999473,8.978956099999778,9.79429059999893,9.778208299998369,9.778220600001077,9.79429059999893,9.79429059999893,9.79429059999893,10.328616800001328,right,1,0.5217510000002221,None,10.32886199999848,10.344769800001814,10.830361299998913,,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.830399999998917,1,10.846414899999218,10.846414899999218,11.796551300001738,space,0.9422425999982806,None,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
left,left,None,,,,,0,0,0,0,11.814507800001593,,,,,,,,,11.801136000001861,12.998851799999102,13.814350199998444,13.79795809999996,13.7979708999992,13.814350199998444,13.814350199998444,13.814350199998444,14.665525699998398,right,0,0.8460850000010396,None,,,,,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
right,right,None,,,,,0,1,1,1,14.681787199999235,,,,,,,,,14.66618599999856,15.866120300001057,16.668393700001616,16.65219520000028,16.65220540000155,16.668393700001616,16.668393700001616,16.668393700001616,17.15088420000029,right,1,0.4723856999989948,None,,,,,,,,,,,,,sub-053418,001,2024-03-08_19h44.32.870,random_dot,2023.2.3,59.89763494209473,2024-03-08 19h44.37.234177 +0100,
,,,,,,,,,,,17.167185999998765,,,,,,,,,17.15140210000027,17.250550900000235,18.05118230000153,18.034989899999346,18.035001600001124,18.05118230000153,18.05118230000153,18.05118230000153,,,,,,,,,,,,,,,,,,,,,,,,,
