direction,corrAns,instruction_csv,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,speed,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0413520999973116,0.06321939999907045,0.06321939999907045,0.6642990000000282,space,0.5996887000001152,None,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
right,right,None,0,0,0,1,,,,,0.6805051999981515,,,,,,,,,0.6691406999998435,1.8647211999996216,2.667235900000378,2.649463300000207,2.649475499998516,2.667235900000378,2.667235900000378,2.667235900000378,2.8159802999980457,right,1,0.13951630000156,None,2.8163511999991897,2.8321035000008123,3.332562899999175,3.3162229000008665,,,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
left,left,None,0,1,1,0,,,,,3.332562899999175,,,,,,,,,3.3164170999989437,4.516926899999817,5.317654999998922,5.301162699997803,5.301175000000512,5.317654999998922,5.317654999998922,5.317654999998922,5.33489869999903,right,0,0.00877300000138348,None,5.335174499999994,5.350849899998138,5.851342999998451,5.835071400000743,,,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
right,right,None,1,0,2,1,,,,,5.851342999998451,,,,,,,,,5.835275400000683,6.635320499997761,7.4359674000006635,7.41967079999813,7.419683399999485,7.4359674000006635,7.4359674000006635,7.4359674000006635,7.553171499999735,right,1,0.10681960000147228,None,7.553423699999257,7.5693563999993785,8.069973999998183,8.053401799999847,,,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
left,left,None,1,1,3,0,,,,,8.069973999998183,,,,,,,,,8.0535796999975,9.256064699999115,10.071889799997734,10.055120999997598,10.055133599998953,10.071889799997734,10.071889799997734,10.071889799997734,10.57289590000073,right,0,0.4865755999999237,None,10.573127499999828,10.588583999997354,11.089758699999948,11.072891100000561,,,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.072929300000396,accuracy,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.089758699999948,11.089758699999948,13.258223599998018,space,2.165211499999714,None,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
right,right,None,,,,,0,0,0,1,13.277618500000244,,,,,,,,,13.263117700000294,14.458564799999294,15.26102610000089,15.24297359999764,15.242985499997303,15.26102610000089,15.26102610000089,15.26102610000089,16.780082900000707,right,1,1.5050675999991654,None,,,,,,,,,,,,,sub-069040,001,2024-03-08_19h47.45.829,random_dot,2023.2.3,59.803533431078556,2024-03-08 19h47.49.813978 +0100,
,,,,,,,,,,,16.79405069999848,,,,,,,,,16.78075859999808,16.89375939999809,17.694507899999735,17.67824710000059,17.678259699998307,17.694507899999735,17.694507899999735,17.694507899999735,,,,,,,,,,,,,,,,,,,,,,,,,
