direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,randomInstr,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0441826999958721,0.06017199999769218,0.06017199999769218,1.4879550999976345,space,1.4122273000029963,None,,,,,,,,,,,,,,,,,,,sub-007787,001,2024-03-08_20h27.51.043,random_dot,2023.2.3,60.473678226479954,2024-03-08 20h27.55.230049 +0100,
left,left,0,0,0,0,,,,,,1.5008928999959608,,,,,,,,,1.4922743999995873,2.6854519999978947,3.4861899000025005,3.4714362000013352,3.471448700001929,3.4861899000025005,3.4861899000025005,3.4861899000025005,4.239805099998193,right,0,0.7390675999995437,None,4.240168399999675,4.2533345999981975,4.75534460000199,4.739223299999139,,sub-007787,001,2024-03-08_20h27.51.043,random_dot,2023.2.3,60.473678226479954,2024-03-08 20h27.55.230049 +0100,
right,right,0,1,1,1,,,,,,4.75534460000199,,,,,,,,,4.739408299996285,5.1058477999977185,5.90643750000163,5.8900030000004335,5.890015899996797,5.90643750000163,5.90643750000163,5.90643750000163,6.441220200002135,left,0,0.5254487999991397,None,6.441460800000641,6.456911699999182,6.957300399997621,6.941033299997798,,sub-007787,001,2024-03-08_20h27.51.043,random_dot,2023.2.3,60.473678226479954,2024-03-08 20h27.55.230049 +0100,
left,left,1,0,2,0,,,,,,6.957300399997621,,,,,,,,,6.941222100002051,7.3076533999992535,8.123117499999353,8.106809999997495,8.106822800000373,8.123117499999353,8.123117499999353,8.123117499999353,8.543403600000602,right,0,0.4052603999953135,None,8.54364550000173,8.55677470000228,9.057223899995734,9.040902100001404,,sub-007787,001,2024-03-08_20h27.51.043,random_dot,2023.2.3,60.473678226479954,2024-03-08 20h27.55.230049 +0100,
right,right,1,1,3,1,,,,,,9.057223899995734,,,,,,,,,9.041102399998636,9.392539399996167,10.191446199998609,10.17530319999787,10.175315499996941,10.191446199998609,10.191446199998609,10.191446199998609,10.677584899996873,right,1,0.480580799994641,None,10.67783039999631,10.69452789999923,,11.177907199999026,,sub-007787,001,2024-03-08_20h27.51.043,random_dot,2023.2.3,60.473678226479954,2024-03-08 20h27.55.230049 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18229070000234,,,,,,,,
