direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,randomInstr,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.030174300001817755,0.059643400003551506,0.059643400003551506,1.0145115000050282,space,0.9484257000003709,None,,,,,,,,,,,,,,,,,,,sub-023440,001,2024-03-08_20h29.33.052,random_dot,2023.2.3,59.93762890379139,2024-03-08 20h29.37.274248 +0100,
left,left,0,0,0,0,,,,,,1.0289403999995557,,,,,,,,,1.0187526000008802,1.3642945000028703,2.1631354999990435,2.146866900002351,2.1468816000051447,2.1631354999990435,2.1631354999990435,2.1631354999990435,3.2673462000020663,left,1,1.08475630000612,None,3.267732899999828,3.2806397000022116,3.7811501000032877,3.764692800003104,,sub-023440,001,2024-03-08_20h29.33.052,random_dot,2023.2.3,59.93762890379139,2024-03-08 20h29.37.274248 +0100,
right,right,0,1,1,1,,,,,,3.7811501000032877,,,,,,,,,3.764876200002618,4.967119100001582,5.767887400004838,5.751623500000278,5.751635200002056,5.767887400004838,5.767887400004838,5.767887400004838,6.10313980000501,left,0,0.31973350000043865,None,6.103399200001149,6.116295200001332,6.618707699999504,6.602207900003123,,sub-023440,001,2024-03-08_20h29.33.052,random_dot,2023.2.3,59.93762890379139,2024-03-08 20h29.37.274248 +0100,
left,left,1,0,2,0,,,,,,6.618707699999504,,,,,,,,,6.602403900003992,7.402493900000991,8.20320240000001,8.186918400002469,8.18693030000577,8.20320240000001,8.20320240000001,8.20320240000001,8.72125760000199,left,1,0.5159738000002108,None,8.721503400003712,8.737897700004396,9.237307900002634,9.221235800003342,,sub-023440,001,2024-03-08_20h29.33.052,random_dot,2023.2.3,59.93762890379139,2024-03-08 20h29.37.274248 +0100,
right,right,1,1,3,1,,,,,,9.237307900002634,,,,,,,,,9.221422800001164,9.587794099999883,10.388491800003976,10.37198100000387,10.371993100001418,10.388491800003976,10.388491800003976,10.388491800003976,10.873461800001678,left,0,0.46725489999516867,None,10.87372840000171,10.886925700004213,,11.370991200004937,,sub-023440,001,2024-03-08_20h29.33.052,random_dot,2023.2.3,59.93762890379139,2024-03-08 20h29.37.274248 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.37557850000303,,,,,,,,
