direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,randomInstr,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.030745700001716614,0.05793519999861019,0.05793519999861019,1.4473853000017698,space,1.385729400004493,None,,,,,,,,,,,,,,,,,,,,,sub-046824,001,2024-03-08_20h26.28.288,random_dot,2023.2.3,59.91486098205787,2024-03-08 20h26.32.450880 +0100,
left,left,0,0,0,0,,,,,,1.4666018999996595,,,,,,,,,1.4522041999953217,2.647439000000304,3.448009899999306,3.431839500000933,3.431852199995774,3.448009899999306,3.448009899999306,3.448009899999306,3.9662040999974124,left,1,0.5169119999991381,None,3.966609700000845,3.9844441000022925,4.482262699995772,,,,,sub-046824,001,2024-03-08_20h26.28.288,random_dot,2023.2.3,59.91486098205787,2024-03-08 20h26.32.450880 +0100,
right,right,0,1,1,1,,,,,,4.498865900000965,,,,,,,,,4.482437099999515,4.5658076999970945,5.36821670000063,5.351728199995705,5.351740199999767,5.36821670000063,5.36821670000063,5.36821670000063,5.853448399997433,right,1,0.46810379999806173,None,5.85369279999577,5.868578499997966,6.352471300000616,6.369035899995652,,,,sub-046824,001,2024-03-08_20h26.28.288,random_dot,2023.2.3,59.91486098205787,2024-03-08 20h26.32.450880 +0100,
left,left,1,0,2,0,,,,,,6.369035899995652,,,,,,,,,6.352656999995816,7.553249600001436,8.352103199998965,8.33764119999978,8.337652900001558,8.352103199998965,8.352103199998965,8.352103199998965,8.886767600000894,left,1,0.5321312999949441,None,8.887047500000335,8.905113100001472,9.388204800001404,,,,,sub-046824,001,2024-03-08_20h26.28.288,random_dot,2023.2.3,59.91486098205787,2024-03-08 20h26.32.450880 +0100,
right,right,1,1,3,1,,,,,,9.404871499995352,,,,,,,,,9.388397900002019,9.73849540000083,10.539177200000267,10.522675699998217,10.52269069999602,10.539177200000267,10.539177200000267,10.539177200000267,11.371797399995557,left,0,0.825760600004287,None,11.372055300002103,11.390568900002108,11.87363650000043,,,,,sub-046824,001,2024-03-08_20h26.28.288,random_dot,2023.2.3,59.91486098205787,2024-03-08 20h26.32.450880 +0100,
,,,,,,,,,,,11.894691199995577,,,,,,,,,,,,,,,,,,,,,,,,,,11.878011499997228,11.894691199995577,11.894691199995577,,,,,,,,
