direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-43527187
right,right,NA,0,0,0,NA,NA,NA,right,1,5.620166874999995,sub-43527187
left,left,NA,0,1,1,NA,NA,NA,right,0,2.3172191659978125,sub-43527187
right,right,NA,1,0,2,NA,NA,NA,right,1,4.440080542000942,sub-43527187
left,left,NA,1,1,3,NA,NA,NA,left,1,1.1606398749936488,sub-43527187
right,right,NA,2,0,4,NA,NA,NA,right,1,2.343451834000007,sub-43527187
left,left,NA,2,1,5,NA,NA,NA,left,1,1.8801869160015483,sub-43527187
right,right,NA,3,0,6,NA,NA,NA,right,1,0.7788169580016984,sub-43527187
left,left,NA,3,1,7,NA,NA,NA,left,1,5.253325375000713,sub-43527187
left,left,NA,4,0,8,NA,NA,NA,right,0,0.933172166995064,sub-43527187
right,right,NA,4,1,9,NA,NA,NA,right,1,1.4895573329995386,sub-43527187
left,left,NA,5,0,10,NA,NA,NA,left,1,1.5030705829994986,sub-43527187
right,right,NA,5,1,11,NA,NA,NA,left,0,2.1947016670019366,sub-43527187
right,right,NA,6,0,12,NA,NA,NA,right,1,2.4182758339957218,sub-43527187
left,left,NA,6,1,13,NA,NA,NA,left,1,1.5874619999958668,sub-43527187
right,right,NA,7,0,14,NA,NA,NA,right,1,0.7139073750004172,sub-43527187
left,left,NA,7,1,15,NA,NA,NA,left,1,0.8734994170008576,sub-43527187
right,right,NA,8,0,16,NA,NA,NA,left,0,1.5482022910000524,sub-43527187
left,left,NA,8,1,17,NA,NA,NA,right,0,3.3727049590015667,sub-43527187
right,right,NA,9,0,18,NA,NA,NA,right,1,2.1660961250017863,sub-43527187
left,left,NA,9,1,19,NA,NA,NA,left,1,2.754348166999989,sub-43527187
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-43527187
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-43527187
left,left,speed,NA,NA,NA,0,0,0,right,0,2.7092528749999474,sub-43527187
right,right,speed,NA,NA,NA,0,1,1,right,1,2.0861644159958814,sub-43527187
left,left,speed,NA,NA,NA,1,0,2,left,1,0.6916509579968988,sub-43527187
right,right,speed,NA,NA,NA,1,1,3,left,0,1.4233109170017997,sub-43527187
left,left,speed,NA,NA,NA,2,0,4,right,0,2.2660622089970275,sub-43527187
right,right,speed,NA,NA,NA,2,1,5,right,1,3.43601291700179,sub-43527187
left,left,speed,NA,NA,NA,3,0,6,left,1,1.9374956669998935,sub-43527187
right,right,speed,NA,NA,NA,3,1,7,right,1,3.689525791000051,sub-43527187
right,right,speed,NA,NA,NA,4,0,8,left,0,3.640956208000716,sub-43527187
left,left,speed,NA,NA,NA,4,1,9,right,0,4.22885233299894,sub-43527187
left,left,speed,NA,NA,NA,5,0,10,left,1,2.768267667001055,sub-43527187
right,right,speed,NA,NA,NA,5,1,11,right,1,5.771563207999861,sub-43527187
right,right,speed,NA,NA,NA,6,0,12,left,0,3.3018462500040187,sub-43527187
left,left,speed,NA,NA,NA,6,1,13,left,1,3.304500915997778,sub-43527187
right,right,speed,NA,NA,NA,7,0,14,right,1,2.340320375005831,sub-43527187
left,left,speed,NA,NA,NA,7,1,15,right,0,5.537878499999351,sub-43527187
left,left,speed,NA,NA,NA,8,0,16,left,1,3.7438632499979576,sub-43527187
right,right,speed,NA,NA,NA,8,1,17,left,0,3.852765417002957,sub-43527187
left,left,speed,NA,NA,NA,9,0,18,left,1,2.6678461250048713,sub-43527187
right,right,speed,NA,NA,NA,9,1,19,right,1,0.7809639999977662,sub-43527187
left,left,speed,NA,NA,NA,10,0,20,left,1,1.9814633749992936,sub-43527187
