direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-33866380
right,right,NA,0,0,0,NA,NA,NA,right,1,5.5878882099932525,sub-33866380
left,left,NA,0,1,1,NA,NA,NA,left,1,6.042182150005829,sub-33866380
left,left,NA,1,0,2,NA,NA,NA,left,1,5.675937738997163,sub-33866380
right,right,NA,1,1,3,NA,NA,NA,right,1,5.73733489998267,sub-33866380
left,left,NA,2,0,4,NA,NA,NA,left,1,5.643841583980247,sub-33866380
right,right,NA,2,1,5,NA,NA,NA,right,1,5.4624542180099525,sub-33866380
right,right,NA,3,0,6,NA,NA,NA,left,0,5.745970980991842,sub-33866380
left,left,NA,3,1,7,NA,NA,NA,left,1,5.632662983989576,sub-33866380
left,left,NA,4,0,8,NA,NA,NA,right,0,3.405313324998133,sub-33866380
right,right,NA,4,1,9,NA,NA,NA,left,0,2.336548555002082,sub-33866380
left,left,NA,5,0,10,NA,NA,NA,left,1,2.5885600589972455,sub-33866380
right,right,NA,5,1,11,NA,NA,NA,right,1,2.8240432110033,sub-33866380
left,left,NA,6,0,12,NA,NA,NA,left,1,4.843167360988446,sub-33866380
right,right,NA,6,1,13,NA,NA,NA,right,1,2.726892343023792,sub-33866380
right,right,NA,7,0,14,NA,NA,NA,left,0,2.2813181600067765,sub-33866380
left,left,NA,7,1,15,NA,NA,NA,left,1,3.420192734018201,sub-33866380
right,right,NA,8,0,16,NA,NA,NA,right,1,2.016614694992313,sub-33866380
left,left,NA,8,1,17,NA,NA,NA,right,0,1.514334339008201,sub-33866380
left,left,NA,9,0,18,NA,NA,NA,right,0,1.7702996930165682,sub-33866380
right,right,NA,9,1,19,NA,NA,NA,left,0,3.5712034109747037,sub-33866380
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-33866380
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-33866380
left,left,accuracy,NA,NA,NA,0,0,0,left,1,3.779443745996105,sub-33866380
right,right,accuracy,NA,NA,NA,0,1,1,right,1,4.495761633006623,sub-33866380
left,left,accuracy,NA,NA,NA,1,0,2,left,1,2.6935009910084773,sub-33866380
right,right,accuracy,NA,NA,NA,1,1,3,right,1,3.0612409349996597,sub-33866380
right,right,accuracy,NA,NA,NA,2,0,4,left,0,4.4815094099903945,sub-33866380
left,left,accuracy,NA,NA,NA,2,1,5,right,0,6.547268594993511,sub-33866380
left,left,accuracy,NA,NA,NA,3,0,6,left,1,5.500466933997814,sub-33866380
right,right,accuracy,NA,NA,NA,3,1,7,right,1,4.421700712991878,sub-33866380
left,left,accuracy,NA,NA,NA,4,0,8,left,1,4.625783557014074,sub-33866380
right,right,accuracy,NA,NA,NA,4,1,9,right,1,3.8610262100119144,sub-33866380
right,right,accuracy,NA,NA,NA,5,0,10,right,1,4.8790560539928265,sub-33866380
left,left,accuracy,NA,NA,NA,5,1,11,left,1,2.89804805998574,sub-33866380
right,right,accuracy,NA,NA,NA,6,0,12,right,1,2.967899426992517,sub-33866380
left,left,accuracy,NA,NA,NA,6,1,13,right,0,4.7284918680088595,sub-33866380
