direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
left,left,speed,NA,NA,NA,23,1,47,left,1,0.7577703239949187,sub-10860809
left,left,speed,NA,NA,NA,24,0,48,left,1,0.703365606997977,sub-10860809
right,right,speed,NA,NA,NA,24,1,49,right,1,0.7298133470030734,sub-10860809
right,right,speed,NA,NA,NA,25,0,50,right,1,0.6172217089988408,sub-10860809
left,left,speed,NA,NA,NA,25,1,51,right,0,0.8362790590035729,sub-10860809
left,left,speed,NA,NA,NA,26,0,52,right,0,0.3857299209994381,sub-10860809
right,right,speed,NA,NA,NA,26,1,53,left,0,0.9518676399966352,sub-10860809
left,left,speed,NA,NA,NA,27,0,54,left,1,0.7278397359987139,sub-10860809
right,right,speed,NA,NA,NA,27,1,55,left,0,0.4069961169952876,sub-10860809
left,left,speed,NA,NA,NA,28,0,56,left,1,0.2745668130010017,sub-10860809
right,right,speed,NA,NA,NA,28,1,57,right,1,0.6290068309972412,sub-10860809
left,left,speed,NA,NA,NA,29,0,58,left,1,0.4557785930010141,sub-10860809
right,right,speed,NA,NA,NA,29,1,59,left,0,0.6571440669940785,sub-10860809
NA,NA,speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-10860809
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-10860809
