direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-2048113
left,left,NA,0,0,0,NA,NA,NA,left,1,2.6082668,sub-2048113
right,right,NA,0,1,1,NA,NA,NA,right,1,0.8923311,sub-2048113
left,left,NA,1,0,2,NA,NA,NA,left,1,0.9822554,sub-2048113
right,right,NA,1,1,3,NA,NA,NA,right,1,0.8392836,sub-2048113
right,right,NA,2,0,4,NA,NA,NA,right,1,1.4322676,sub-2048113
left,left,NA,2,1,5,NA,NA,NA,left,1,0.9464243,sub-2048113
right,right,NA,3,0,6,NA,NA,NA,right,1,1.2361882,sub-2048113
left,left,NA,3,1,7,NA,NA,NA,left,1,0.83045,sub-2048113
right,right,NA,4,0,8,NA,NA,NA,right,1,0.7883804,sub-2048113
left,left,NA,4,1,9,NA,NA,NA,left,1,0.6669257,sub-2048113
left,left,NA,5,0,10,NA,NA,NA,right,0,0.6750476,sub-2048113
right,right,NA,5,1,11,NA,NA,NA,right,1,0.9797574,sub-2048113
left,left,NA,6,0,12,NA,NA,NA,left,1,0.7897452,sub-2048113
right,right,NA,6,1,13,NA,NA,NA,right,1,1.1264598,sub-2048113
left,left,NA,7,0,14,NA,NA,NA,left,1,2.0247108,sub-2048113
right,right,NA,7,1,15,NA,NA,NA,right,1,0.7901908,sub-2048113
right,right,NA,8,0,16,NA,NA,NA,right,1,2.1138006,sub-2048113
left,left,NA,8,1,17,NA,NA,NA,left,1,2.1519435,sub-2048113
right,right,NA,9,0,18,NA,NA,NA,right,1,0.7776505,sub-2048113
left,left,NA,9,1,19,NA,NA,NA,left,1,1.0836786,sub-2048113
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-2048113
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-2048113
right,right,speed,NA,NA,NA,0,0,0,right,1,0.7839883,sub-2048113
left,left,speed,NA,NA,NA,0,1,1,left,1,0.951726,sub-2048113
right,right,speed,NA,NA,NA,1,0,2,left,0,1.7860296,sub-2048113
left,left,speed,NA,NA,NA,1,1,3,left,1,2.7667943,sub-2048113
right,right,speed,NA,NA,NA,2,0,4,right,1,1.9037345,sub-2048113
left,left,speed,NA,NA,NA,2,1,5,left,1,3.7280367,sub-2048113
right,right,speed,NA,NA,NA,3,0,6,right,1,1.1586915,sub-2048113
left,left,speed,NA,NA,NA,3,1,7,left,1,1.2421198,sub-2048113
right,right,speed,NA,NA,NA,4,0,8,right,1,1.7198154,sub-2048113
left,left,speed,NA,NA,NA,4,1,9,left,1,1.1766018,sub-2048113
right,right,speed,NA,NA,NA,5,0,10,right,1,0.8342561,sub-2048113
left,left,speed,NA,NA,NA,5,1,11,left,1,0.81182,sub-2048113
left,left,speed,NA,NA,NA,6,0,12,left,1,2.2777459,sub-2048113
right,right,speed,NA,NA,NA,6,1,13,right,1,1.2045197,sub-2048113
right,right,speed,NA,NA,NA,7,0,14,right,1,3.2504673,sub-2048113
left,left,speed,NA,NA,NA,7,1,15,left,1,0.9329679,sub-2048113
right,right,speed,NA,NA,NA,8,0,16,right,1,0.7818634,sub-2048113
left,left,speed,NA,NA,NA,8,1,17,left,1,0.7993154,sub-2048113
right,right,speed,NA,NA,NA,9,0,18,right,1,1.2439548,sub-2048113
left,left,speed,NA,NA,NA,9,1,19,left,1,3.7487054,sub-2048113
right,right,speed,NA,NA,NA,10,0,20,right,1,0.8213379,sub-2048113
left,left,speed,NA,NA,NA,10,1,21,left,1,1.206005,sub-2048113
right,right,speed,NA,NA,NA,11,0,22,right,1,0.8828931,sub-2048113
left,left,speed,NA,NA,NA,11,1,23,left,1,1.3672937,sub-2048113
left,left,speed,NA,NA,NA,12,0,24,left,1,1.6368783,sub-2048113
right,right,speed,NA,NA,NA,12,1,25,right,1,0.9947311,sub-2048113
left,left,speed,NA,NA,NA,13,0,26,left,1,1.2639298,sub-2048113
right,right,speed,NA,NA,NA,13,1,27,right,1,1.0500605,sub-2048113
left,left,speed,NA,NA,NA,14,0,28,left,1,1.3088683,sub-2048113
right,right,speed,NA,NA,NA,14,1,29,left,0,3.5863945,sub-2048113
left,left,speed,NA,NA,NA,15,0,30,left,1,0.879902,sub-2048113
right,right,speed,NA,NA,NA,15,1,31,right,1,1.8553958,sub-2048113
left,left,speed,NA,NA,NA,16,0,32,left,1,2.0994247,sub-2048113
right,right,speed,NA,NA,NA,16,1,33,right,1,1.4942762,sub-2048113
right,right,speed,NA,NA,NA,17,0,34,right,1,3.298773,sub-2048113
left,left,speed,NA,NA,NA,17,1,35,left,1,1.7528911,sub-2048113
left,left,speed,NA,NA,NA,18,0,36,left,1,2.0590992,sub-2048113
right,right,speed,NA,NA,NA,18,1,37,right,1,1.1572173,sub-2048113
left,left,speed,NA,NA,NA,19,0,38,left,1,1.3574602,sub-2048113
right,right,speed,NA,NA,NA,19,1,39,right,1,1.0031658,sub-2048113
left,left,speed,NA,NA,NA,20,0,40,left,1,3.8062058,sub-2048113
right,right,speed,NA,NA,NA,20,1,41,right,1,2.0070639,sub-2048113
right,right,speed,NA,NA,NA,21,0,42,right,1,1.3157829,sub-2048113
left,left,speed,NA,NA,NA,21,1,43,left,1,0.8412268,sub-2048113
right,right,speed,NA,NA,NA,22,0,44,right,1,0.9916079,sub-2048113
left,left,speed,NA,NA,NA,22,1,45,left,1,1.4396741,sub-2048113
right,right,speed,NA,NA,NA,23,0,46,right,1,1.3653189,sub-2048113
left,left,speed,NA,NA,NA,23,1,47,left,1,0.8962102,sub-2048113
left,left,speed,NA,NA,NA,24,0,48,right,0,1.6311128,sub-2048113
right,right,speed,NA,NA,NA,24,1,49,right,1,2.1046359,sub-2048113
left,left,speed,NA,NA,NA,25,0,50,left,1,1.2662196,sub-2048113
right,right,speed,NA,NA,NA,25,1,51,right,1,1.3143869,sub-2048113
left,left,speed,NA,NA,NA,26,0,52,left,1,1.843919,sub-2048113
right,right,speed,NA,NA,NA,26,1,53,right,1,2.0493483,sub-2048113
left,left,speed,NA,NA,NA,27,0,54,left,1,1.8282665,sub-2048113
right,right,speed,NA,NA,NA,27,1,55,left,0,1.3928173,sub-2048113
left,left,speed,NA,NA,NA,28,0,56,left,1,1.4707374,sub-2048113
right,right,speed,NA,NA,NA,28,1,57,right,1,1.1209037,sub-2048113
left,left,speed,NA,NA,NA,29,0,58,left,1,1.5308035,sub-2048113
