direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-96515118
right,right,NA,0,0,0,NA,NA,NA,right,1,5.141076001,sub-96515118
left,left,NA,0,1,1,NA,NA,NA,left,1,1.687699733,sub-96515118
right,right,NA,1,0,2,NA,NA,NA,right,1,1.229065533,sub-96515118
left,left,NA,1,1,3,NA,NA,NA,left,1,2.827954786,sub-96515118
right,right,NA,2,0,4,NA,NA,NA,left,0,5.047603482,sub-96515118
left,left,NA,2,1,5,NA,NA,NA,right,0,2.095615186,sub-96515118
left,left,NA,3,0,6,NA,NA,NA,right,0,7.929269346,sub-96515118
right,right,NA,3,1,7,NA,NA,NA,right,1,1.075064461,sub-96515118
left,left,NA,4,0,8,NA,NA,NA,left,1,0.578298912,sub-96515118
right,right,NA,4,1,9,NA,NA,NA,left,0,1.698199322,sub-96515118
right,right,NA,5,0,10,NA,NA,NA,right,1,0.775480609,sub-96515118
left,left,NA,5,1,11,NA,NA,NA,right,0,1.689925856,sub-96515118
right,right,NA,6,0,12,NA,NA,NA,left,0,0.733165928,sub-96515118
left,left,NA,6,1,13,NA,NA,NA,left,1,3.831456239,sub-96515118
right,right,NA,7,0,14,NA,NA,NA,right,1,4.503272282,sub-96515118
left,left,NA,7,1,15,NA,NA,NA,left,1,0.993961029,sub-96515118
right,right,NA,8,0,16,NA,NA,NA,left,0,2.500598651,sub-96515118
left,left,NA,8,1,17,NA,NA,NA,left,1,3.56376657,sub-96515118
left,left,NA,9,0,18,NA,NA,NA,right,0,1.626474412,sub-96515118
right,right,NA,9,1,19,NA,NA,NA,left,0,1.967443981,sub-96515118
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-96515118
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-96515118
left,left,speed,NA,NA,NA,0,0,0,left,1,0.899891707,sub-96515118
right,right,speed,NA,NA,NA,0,1,1,left,0,1.57001304,sub-96515118
right,right,speed,NA,NA,NA,1,0,2,right,1,0.899867218,sub-96515118
left,left,speed,NA,NA,NA,1,1,3,left,1,1.668979889,sub-96515118
left,left,speed,NA,NA,NA,2,0,4,right,0,0.953524371,sub-96515118
right,right,speed,NA,NA,NA,2,1,5,left,0,0.739321535,sub-96515118
right,right,speed,NA,NA,NA,3,0,6,right,1,1.615602168,sub-96515118
left,left,speed,NA,NA,NA,3,1,7,left,1,1.291224312,sub-96515118
right,right,speed,NA,NA,NA,4,0,8,left,0,2.544194034,sub-96515118
left,left,speed,NA,NA,NA,4,1,9,left,1,1.383911716,sub-96515118
right,right,speed,NA,NA,NA,5,0,10,right,1,1.494284018,sub-96515118
left,left,speed,NA,NA,NA,5,1,11,left,1,1.648673781,sub-96515118
left,left,speed,NA,NA,NA,6,0,12,left,1,3.960889064,sub-96515118
right,right,speed,NA,NA,NA,6,1,13,left,0,4.245753757,sub-96515118
left,left,speed,NA,NA,NA,7,0,14,right,0,3.093961691,sub-96515118
right,right,speed,NA,NA,NA,7,1,15,left,0,1.004717674,sub-96515118
left,left,speed,NA,NA,NA,8,0,16,right,0,1.123569276,sub-96515118
right,right,speed,NA,NA,NA,8,1,17,left,0,1.50609587,sub-96515118
left,left,speed,NA,NA,NA,9,0,18,right,0,3.965351318,sub-96515118
right,right,speed,NA,NA,NA,9,1,19,left,0,0.812384389,sub-96515118
left,left,speed,NA,NA,NA,10,0,20,right,0,0.492574278,sub-96515118
right,right,speed,NA,NA,NA,10,1,21,right,1,1.148430292,sub-96515118
left,left,speed,NA,NA,NA,11,0,22,left,1,0.727873117,sub-96515118
right,right,speed,NA,NA,NA,11,1,23,right,1,1.098374974,sub-96515118
right,right,speed,NA,NA,NA,12,0,24,left,0,0.538918564,sub-96515118
left,left,speed,NA,NA,NA,12,1,25,left,1,1.325773176,sub-96515118
right,right,speed,NA,NA,NA,13,0,26,left,0,0.902105957,sub-96515118
left,left,speed,NA,NA,NA,13,1,27,left,1,1.534056855,sub-96515118
right,right,speed,NA,NA,NA,14,0,28,left,0,1.125475536,sub-96515118
left,left,speed,NA,NA,NA,14,1,29,left,1,1.642019567,sub-96515118
right,right,speed,NA,NA,NA,15,0,30,right,1,0.689698885,sub-96515118
left,left,speed,NA,NA,NA,15,1,31,left,1,0.639633065,sub-96515118
right,right,speed,NA,NA,NA,16,0,32,left,0,0.782728706,sub-96515118
left,left,speed,NA,NA,NA,16,1,33,left,1,1.033040473,sub-96515118
right,right,speed,NA,NA,NA,17,0,34,left,0,1.542320813,sub-96515118
left,left,speed,NA,NA,NA,17,1,35,left,1,1.565500341,sub-96515118
right,right,speed,NA,NA,NA,18,0,36,right,1,0.553714252,sub-96515118
left,left,speed,NA,NA,NA,18,1,37,left,1,2.660002739,sub-96515118
right,right,speed,NA,NA,NA,19,0,38,right,1,0.684961387,sub-96515118
left,left,speed,NA,NA,NA,19,1,39,right,0,0.640369648,sub-96515118
left,left,speed,NA,NA,NA,20,0,40,left,1,1.641904274,sub-96515118
right,right,speed,NA,NA,NA,20,1,41,left,0,2.142343904,sub-96515118
right,right,speed,NA,NA,NA,21,0,42,left,0,5.181769189,sub-96515118
left,left,speed,NA,NA,NA,21,1,43,left,1,1.012929797,sub-96515118
right,right,speed,NA,NA,NA,22,0,44,right,1,1.907447099,sub-96515118
left,left,speed,NA,NA,NA,22,1,45,left,1,0.645923937,sub-96515118
left,left,speed,NA,NA,NA,23,0,46,left,1,1.056799614,sub-96515118
right,right,speed,NA,NA,NA,23,1,47,left,0,1.31807138,sub-96515118
right,right,speed,NA,NA,NA,24,0,48,right,1,0.488551429,sub-96515118
left,left,speed,NA,NA,NA,24,1,49,right,0,1.54919438,sub-96515118
left,left,speed,NA,NA,NA,25,0,50,left,1,0.804468212,sub-96515118
right,right,speed,NA,NA,NA,25,1,51,right,1,0.896191967,sub-96515118
left,left,speed,NA,NA,NA,26,0,52,left,1,0.614353036,sub-96515118
right,right,speed,NA,NA,NA,26,1,53,right,1,1.108095533,sub-96515118
