direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-26548463
right,right,NA,0,0,0,NA,NA,NA,right,1,17.423975699999573,sub-26548463
left,left,NA,0,1,1,NA,NA,NA,left,1,6.298473300001206,sub-26548463
left,left,NA,1,0,2,NA,NA,NA,right,0,5.855776600001263,sub-26548463
right,right,NA,1,1,3,NA,NA,NA,right,1,5.787787500001286,sub-26548463
left,left,NA,2,0,4,NA,NA,NA,left,1,5.9509456000014325,sub-26548463
right,right,NA,2,1,5,NA,NA,NA,right,1,5.548788000000059,sub-26548463
left,left,NA,3,0,6,NA,NA,NA,left,1,2.4390882999978203,sub-26548463
right,right,NA,3,1,7,NA,NA,NA,right,1,1.213992299999518,sub-26548463
left,left,NA,4,0,8,NA,NA,NA,left,1,1.0893614000015075,sub-26548463
right,right,NA,4,1,9,NA,NA,NA,right,1,0.8759143999996013,sub-26548463
right,right,NA,5,0,10,NA,NA,NA,right,1,2.015628099998139,sub-26548463
left,left,NA,5,1,11,NA,NA,NA,left,1,0.6740817999998399,sub-26548463
left,left,NA,6,0,12,NA,NA,NA,left,1,0.874552199999016,sub-26548463
right,right,NA,6,1,13,NA,NA,NA,right,1,0.619912199999817,sub-26548463
left,left,NA,7,0,14,NA,NA,NA,left,1,0.7008659999992233,sub-26548463
right,right,NA,7,1,15,NA,NA,NA,right,1,0.5567731000010099,sub-26548463
right,right,NA,8,0,16,NA,NA,NA,left,0,2.9330680999992182,sub-26548463
left,left,NA,8,1,17,NA,NA,NA,left,1,0.9010244999990392,sub-26548463
right,right,NA,9,0,18,NA,NA,NA,right,1,2.067812400000548,sub-26548463
left,left,NA,9,1,19,NA,NA,NA,left,1,0.846920100000716,sub-26548463
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-26548463
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-26548463
left,left,accuracy,NA,NA,NA,0,0,0,left,1,0.8275857000007818,sub-26548463
right,right,accuracy,NA,NA,NA,0,1,1,right,1,1.057882999997673,sub-26548463
left,left,accuracy,NA,NA,NA,1,0,2,left,1,0.903103299999202,sub-26548463
right,right,accuracy,NA,NA,NA,1,1,3,right,1,1.4528735999992932,sub-26548463
right,right,accuracy,NA,NA,NA,2,0,4,left,0,2.9091559999978926,sub-26548463
left,left,accuracy,NA,NA,NA,2,1,5,left,1,1.9284936000003656,sub-26548463
right,right,accuracy,NA,NA,NA,3,0,6,right,1,0.9748498000008112,sub-26548463
left,left,accuracy,NA,NA,NA,3,1,7,left,1,1.8869931000008364,sub-26548463
right,right,accuracy,NA,NA,NA,4,0,8,left,0,3.997164100001101,sub-26548463
left,left,accuracy,NA,NA,NA,4,1,9,left,1,3.39615749999939,sub-26548463
right,right,accuracy,NA,NA,NA,5,0,10,right,1,1.1556448999981512,sub-26548463
left,left,accuracy,NA,NA,NA,5,1,11,left,1,1.5611799999969662,sub-26548463
right,right,accuracy,NA,NA,NA,6,0,12,right,1,1.6677514000002702,sub-26548463
left,left,accuracy,NA,NA,NA,6,1,13,left,1,1.9844243000006827,sub-26548463
left,left,accuracy,NA,NA,NA,7,0,14,right,0,2.914816000000428,sub-26548463
right,right,accuracy,NA,NA,NA,7,1,15,right,1,2.102473999999347,sub-26548463
left,left,accuracy,NA,NA,NA,8,0,16,left,1,1.681376299999101,sub-26548463
right,right,accuracy,NA,NA,NA,8,1,17,right,1,0.984763299999031,sub-26548463
right,right,accuracy,NA,NA,NA,9,0,18,right,1,1.309397799999715,sub-26548463
left,left,accuracy,NA,NA,NA,9,1,19,right,0,2.034702800003288,sub-26548463
right,right,accuracy,NA,NA,NA,10,0,20,right,1,0.919133100000181,sub-26548463
left,left,accuracy,NA,NA,NA,10,1,21,right,0,2.326604199999565,sub-26548463
left,left,accuracy,NA,NA,NA,11,0,22,right,0,2.285788400000456,sub-26548463
right,right,accuracy,NA,NA,NA,11,1,23,right,1,5.952555600000778,sub-26548463
left,left,accuracy,NA,NA,NA,12,0,24,right,0,1.8277077000020656,sub-26548463
right,right,accuracy,NA,NA,NA,12,1,25,right,1,2.1180647000001045,sub-26548463
left,left,accuracy,NA,NA,NA,13,0,26,left,1,2.698968500000774,sub-26548463
right,right,accuracy,NA,NA,NA,13,1,27,right,1,3.3190762999984145,sub-26548463
right,right,accuracy,NA,NA,NA,14,0,28,right,1,2.8621526999995694,sub-26548463
left,left,accuracy,NA,NA,NA,14,1,29,left,1,2.360129099997721,sub-26548463
left,left,accuracy,NA,NA,NA,15,0,30,left,1,2.890469200003281,sub-26548463
right,right,accuracy,NA,NA,NA,15,1,31,right,1,2.1425530000014987,sub-26548463
right,right,accuracy,NA,NA,NA,16,0,32,left,0,1.7535812000023725,sub-26548463
left,left,accuracy,NA,NA,NA,16,1,33,left,1,3.782475899999554,sub-26548463
left,left,accuracy,NA,NA,NA,17,0,34,right,0,1.8253497000005152,sub-26548463
right,right,accuracy,NA,NA,NA,17,1,35,left,0,4.848606600000494,sub-26548463
left,left,accuracy,NA,NA,NA,18,0,36,left,1,1.5081195999991903,sub-26548463
right,right,accuracy,NA,NA,NA,18,1,37,right,1,1.3127978999982588,sub-26548463
left,left,accuracy,NA,NA,NA,19,0,38,left,1,1.2725618000004033,sub-26548463
right,right,accuracy,NA,NA,NA,19,1,39,right,1,1.5368694999997388,sub-26548463
right,right,accuracy,NA,NA,NA,20,0,40,right,1,1.6284704000026975,sub-26548463
left,left,accuracy,NA,NA,NA,20,1,41,left,1,0.977104400000826,sub-26548463
left,left,accuracy,NA,NA,NA,21,0,42,right,0,1.0490596999989066,sub-26548463
right,right,accuracy,NA,NA,NA,21,1,43,left,0,1.3611345999997866,sub-26548463
left,left,accuracy,NA,NA,NA,22,0,44,left,1,3.4085424000004423,sub-26548463
right,right,accuracy,NA,NA,NA,22,1,45,right,1,0.8798401999993075,sub-26548463
right,right,accuracy,NA,NA,NA,23,0,46,right,1,1.4733077000018966,sub-26548463
left,left,accuracy,NA,NA,NA,23,1,47,left,1,1.0182980999998108,sub-26548463
right,right,accuracy,NA,NA,NA,24,0,48,right,1,0.7464214999999967,sub-26548463
left,left,accuracy,NA,NA,NA,24,1,49,left,1,0.8697724000012386,sub-26548463
right,right,accuracy,NA,NA,NA,25,0,50,right,1,0.8769711999993888,sub-26548463
left,left,accuracy,NA,NA,NA,25,1,51,left,1,0.8900353999997606,sub-26548463
left,left,accuracy,NA,NA,NA,26,0,52,left,1,2.52784260000044,sub-26548463
right,right,accuracy,NA,NA,NA,26,1,53,left,0,4.886704799999279,sub-26548463
left,left,accuracy,NA,NA,NA,27,0,54,left,1,4.146668299999874,sub-26548463
right,right,accuracy,NA,NA,NA,27,1,55,left,0,2.107870299998467,sub-26548463
left,left,accuracy,NA,NA,NA,28,0,56,left,1,4.298688400001993,sub-26548463
right,right,accuracy,NA,NA,NA,28,1,57,right,1,0.995308199999272,sub-26548463
right,right,accuracy,NA,NA,NA,29,0,58,left,0,1.3833335999988776,sub-26548463
left,left,accuracy,NA,NA,NA,29,1,59,left,1,2.088950500001374,sub-26548463
NA,NA,accuracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-26548463
left,left,speed,NA,NA,NA,0,0,0,left,1,2.2727804999994987,sub-26548463
right,right,speed,NA,NA,NA,0,1,1,left,0,2.0315241999996942,sub-26548463
left,left,speed,NA,NA,NA,1,0,2,left,1,1.5905031000002054,sub-26548463
right,right,speed,NA,NA,NA,1,1,3,right,1,1.042103700001462,sub-26548463
right,right,speed,NA,NA,NA,2,0,4,left,0,1.4590669999997772,sub-26548463
left,left,speed,NA,NA,NA,2,1,5,left,1,2.324088800000027,sub-26548463
right,right,speed,NA,NA,NA,3,0,6,left,0,1.1365613999987545,sub-26548463
left,left,speed,NA,NA,NA,3,1,7,left,1,1.404049800003122,sub-26548463
left,left,speed,NA,NA,NA,4,0,8,left,1,2.155798899999354,sub-26548463
right,right,speed,NA,NA,NA,4,1,9,left,0,1.290971600003104,sub-26548463
left,left,speed,NA,NA,NA,5,0,10,left,1,2.32342509999944,sub-26548463
right,right,speed,NA,NA,NA,5,1,11,right,1,3.1276713000006566,sub-26548463
right,right,speed,NA,NA,NA,6,0,12,right,1,1.16181399999914,sub-26548463
left,left,speed,NA,NA,NA,6,1,13,left,1,4.527460900000733,sub-26548463
right,right,speed,NA,NA,NA,7,0,14,right,1,1.4639394000005268,sub-26548463
left,left,speed,NA,NA,NA,7,1,15,left,1,1.8301056000018432,sub-26548463
left,left,speed,NA,NA,NA,8,0,16,left,1,3.9063873999984935,sub-26548463
right,right,speed,NA,NA,NA,8,1,17,left,0,1.7431552999987616,sub-26548463
right,right,speed,NA,NA,NA,9,0,18,left,0,3.054381800000556,sub-26548463
left,left,speed,NA,NA,NA,9,1,19,left,1,2.641176600001927,sub-26548463
right,right,speed,NA,NA,NA,10,0,20,right,1,0.8717959999994491,sub-26548463
left,left,speed,NA,NA,NA,10,1,21,left,1,1.0472815000030096,sub-26548463
right,right,speed,NA,NA,NA,11,0,22,right,1,0.7641108999996504,sub-26548463
left,left,speed,NA,NA,NA,11,1,23,left,1,1.8636967999991612,sub-26548463
right,right,speed,NA,NA,NA,12,0,24,right,1,0.6418892000001506,sub-26548463
left,left,speed,NA,NA,NA,12,1,25,left,1,0.8731635999974969,sub-26548463
right,right,speed,NA,NA,NA,13,0,26,right,1,0.9920739000008324,sub-26548463
left,left,speed,NA,NA,NA,13,1,27,left,1,0.7288303999994241,sub-26548463
left,left,speed,NA,NA,NA,14,0,28,left,1,0.9822874999990744,sub-26548463
right,right,speed,NA,NA,NA,14,1,29,right,1,0.6527268999998341,sub-26548463
right,right,speed,NA,NA,NA,15,0,30,right,1,1.86583569999857,sub-26548463
left,left,speed,NA,NA,NA,15,1,31,left,1,0.7827146999989054,sub-26548463
left,left,speed,NA,NA,NA,16,0,32,left,1,0.5714346000022488,sub-26548463
right,right,speed,NA,NA,NA,16,1,33,right,1,0.79256489999897894,sub-26548463
left,left,speed,NA,NA,NA,17,0,34,left,1,0.671430499998678,sub-26548463
right,right,speed,NA,NA,NA,17,1,35,right,1,0.7497570000014093,sub-26548463
left,left,speed,NA,NA,NA,18,0,36,left,1,0.6779143000021577,sub-26548463
right,right,speed,NA,NA,NA,18,1,37,right,1,0.8090015999987372,sub-26548463
left,left,speed,NA,NA,NA,19,0,38,left,1,1.0980122000000847,sub-26548463
right,right,speed,NA,NA,NA,19,1,39,right,1,0.6862992999995186,sub-26548463
left,left,speed,NA,NA,NA,20,0,40,left,1,0.6258291000012832,sub-26548463
right,right,speed,NA,NA,NA,20,1,41,right,1,0.8147950999991735,sub-26548463
right,right,speed,NA,NA,NA,21,0,42,left,0,1.4702541000006022,sub-26548463
left,left,speed,NA,NA,NA,21,1,43,left,1,0.8277635000013106,sub-26548463
right,right,speed,NA,NA,NA,22,0,44,right,1,0.7934969999987516,sub-26548463
left,left,speed,NA,NA,NA,22,1,45,left,1,0.6183621999989555,sub-26548463
