direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-2804799
left,left,NA,0,0,0,NA,NA,NA,left,1,1.057525125,sub-2804799
right,right,NA,0,1,1,NA,NA,NA,left,0,2.346708625,sub-2804799
left,left,NA,1,0,2,NA,NA,NA,right,0,1.9809255,sub-2804799
right,right,NA,1,1,3,NA,NA,NA,right,1,1.646248833,sub-2804799
left,left,NA,2,0,4,NA,NA,NA,left,1,3.857504958,sub-2804799
right,right,NA,2,1,5,NA,NA,NA,right,1,3.043195375,sub-2804799
right,right,NA,3,0,6,NA,NA,NA,left,0,4.703567875,sub-2804799
left,left,NA,3,1,7,NA,NA,NA,right,0,4.778177709,sub-2804799
right,right,NA,4,0,8,NA,NA,NA,right,1,2.182757333,sub-2804799
left,left,NA,4,1,9,NA,NA,NA,left,1,2.12042275,sub-2804799
right,right,NA,5,0,10,NA,NA,NA,right,1,2.98563675,sub-2804799
left,left,NA,5,1,11,NA,NA,NA,left,1,4.279588583,sub-2804799
right,right,NA,6,0,12,NA,NA,NA,right,1,4.918294334,sub-2804799
left,left,NA,6,1,13,NA,NA,NA,right,0,4.289333084,sub-2804799
right,right,NA,7,0,14,NA,NA,NA,right,1,5.636932583,sub-2804799
left,left,NA,7,1,15,NA,NA,NA,right,0,5.192813958,sub-2804799
right,right,NA,8,0,16,NA,NA,NA,right,1,6.242317583,sub-2804799
left,left,NA,8,1,17,NA,NA,NA,left,1,4.087881042,sub-2804799
left,left,NA,9,0,18,NA,NA,NA,left,1,4.273669833,sub-2804799
right,right,NA,9,1,19,NA,NA,NA,right,1,3.995765417,sub-2804799
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-2804799
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-2804799
right,right,accuracy,NA,NA,NA,0,0,0,left,0,4.65369225,sub-2804799
left,left,accuracy,NA,NA,NA,0,1,1,left,1,5.475629167,sub-2804799
right,right,accuracy,NA,NA,NA,1,0,2,left,0,5.292842417,sub-2804799
left,left,accuracy,NA,NA,NA,1,1,3,right,0,3.264741167,sub-2804799
right,right,accuracy,NA,NA,NA,2,0,4,right,1,4.135358041,sub-2804799
left,left,accuracy,NA,NA,NA,2,1,5,left,1,3.596916875,sub-2804799
right,right,accuracy,NA,NA,NA,3,0,6,right,1,4.099457834,sub-2804799
left,left,accuracy,NA,NA,NA,3,1,7,left,1,3.781345708,sub-2804799
right,right,accuracy,NA,NA,NA,4,0,8,left,0,5.059658958,sub-2804799
left,left,accuracy,NA,NA,NA,4,1,9,right,0,4.207994083,sub-2804799
right,right,accuracy,NA,NA,NA,5,0,10,right,1,4.564958834,sub-2804799
left,left,accuracy,NA,NA,NA,5,1,11,left,1,3.916137917,sub-2804799
left,left,accuracy,NA,NA,NA,6,0,12,right,0,4.983392959,sub-2804799
right,right,accuracy,NA,NA,NA,6,1,13,right,1,3.825242792,sub-2804799
left,left,accuracy,NA,NA,NA,7,0,14,left,1,3.832943209,sub-2804799
right,right,accuracy,NA,NA,NA,7,1,15,left,0,5.481469875,sub-2804799
left,left,accuracy,NA,NA,NA,8,0,16,left,1,2.916424375,sub-2804799
right,right,accuracy,NA,NA,NA,8,1,17,right,1,3.811756375,sub-2804799
right,right,accuracy,NA,NA,NA,9,0,18,left,0,3.164027916,sub-2804799
left,left,accuracy,NA,NA,NA,9,1,19,left,1,4.182871042,sub-2804799
right,right,accuracy,NA,NA,NA,10,0,20,right,1,5.211413417,sub-2804799
left,left,accuracy,NA,NA,NA,10,1,21,left,1,2.845151333,sub-2804799
right,right,accuracy,NA,NA,NA,11,0,22,right,1,3.983397791,sub-2804799
left,left,accuracy,NA,NA,NA,11,1,23,left,1,4.02827475,sub-2804799
left,left,accuracy,NA,NA,NA,12,0,24,left,1,5.013882042,sub-2804799
right,right,accuracy,NA,NA,NA,12,1,25,right,1,3.934671833,sub-2804799
left,left,accuracy,NA,NA,NA,13,0,26,right,0,3.613207458,sub-2804799
right,right,accuracy,NA,NA,NA,13,1,27,right,1,5.437478583,sub-2804799
left,left,accuracy,NA,NA,NA,14,0,28,left,1,4.734371292,sub-2804799
