direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-66389427
left,left,NA,0,0,0,NA,NA,NA,right,0,16.989664967171848,sub-66389427
right,right,NA,0,1,1,NA,NA,NA,left,0,5.940404406981543,sub-66389427
left,left,NA,1,0,2,NA,NA,NA,left,1,2.8984804719220847,sub-66389427
right,right,NA,1,1,3,NA,NA,NA,right,1,2.236942560179159,sub-66389427
left,left,NA,2,0,4,NA,NA,NA,right,0,4.449360556900501,sub-66389427
right,right,NA,2,1,5,NA,NA,NA,right,1,3.391775188036263,sub-66389427
right,right,NA,3,0,6,NA,NA,NA,left,0,2.0093831040430814,sub-66389427
left,left,NA,3,1,7,NA,NA,NA,left,1,4.266559894895181,sub-66389427
right,right,NA,4,0,8,NA,NA,NA,right,1,2.512377065140754,sub-66389427
left,left,NA,4,1,9,NA,NA,NA,left,1,1.9636764710303396,sub-66389427
right,right,NA,5,0,10,NA,NA,NA,left,0,3.887535718968138,sub-66389427
left,left,NA,5,1,11,NA,NA,NA,left,1,4.672584529966116,sub-66389427
left,left,NA,6,0,12,NA,NA,NA,left,1,2.7728338348679245,sub-66389427
right,right,NA,6,1,13,NA,NA,NA,left,0,4.818442624993622,sub-66389427
right,right,NA,7,0,14,NA,NA,NA,right,1,1.6445753329899162,sub-66389427
left,left,NA,7,1,15,NA,NA,NA,left,1,3.792848055018112,sub-66389427
left,left,NA,8,0,16,NA,NA,NA,right,0,2.8417158420197666,sub-66389427
right,right,NA,8,1,17,NA,NA,NA,left,0,4.095847605029121,sub-66389427
right,right,NA,9,0,18,NA,NA,NA,left,0,5.7333002460654825,sub-66389427
left,left,NA,9,1,19,NA,NA,NA,left,1,3.240206765010953,sub-66389427
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-66389427
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-66389427
left,left,speed,NA,NA,NA,0,0,0,right,0,6.108730546198785,sub-66389427
right,right,speed,NA,NA,NA,0,1,1,left,0,4.527098295977339,sub-66389427
left,left,speed,NA,NA,NA,1,0,2,right,0,1.4906484989915043,sub-66389427
right,right,speed,NA,NA,NA,1,1,3,left,0,5.30320389312692,sub-66389427
right,right,speed,NA,NA,NA,2,0,4,left,0,5.389523498015478,sub-66389427
left,left,speed,NA,NA,NA,2,1,5,left,1,1.6790694219525903,sub-66389427
left,left,speed,NA,NA,NA,3,0,6,left,1,2.2903403248637915,sub-66389427
right,right,speed,NA,NA,NA,3,1,7,right,1,1.850631179055199,sub-66389427
right,right,speed,NA,NA,NA,4,0,8,left,0,4.086586895864457,sub-66389427
left,left,speed,NA,NA,NA,4,1,9,left,1,1.3895679370034486,sub-66389427
left,left,speed,NA,NA,NA,5,0,10,right,0,4.109053238062188,sub-66389427
right,right,speed,NA,NA,NA,5,1,11,right,1,2.252833287930116,sub-66389427
right,right,speed,NA,NA,NA,6,0,12,left,0,2.107695939950645,sub-66389427
left,left,speed,NA,NA,NA,6,1,13,left,1,2.4690682890359312,sub-66389427
right,right,speed,NA,NA,NA,7,0,14,left,0,5.898971496149898,sub-66389427
left,left,speed,NA,NA,NA,7,1,15,left,1,5.229347439948469,sub-66389427
right,right,speed,NA,NA,NA,8,0,16,left,0,4.470325407106429,sub-66389427
left,left,speed,NA,NA,NA,8,1,17,left,1,1.3575955550186336,sub-66389427
left,left,speed,NA,NA,NA,9,0,18,left,1,1.3502967569511384,sub-66389427
right,right,speed,NA,NA,NA,9,1,19,right,1,1.3000792050734162,sub-66389427
left,left,speed,NA,NA,NA,10,0,20,right,0,1.4727331488393247,sub-66389427
right,right,speed,NA,NA,NA,10,1,21,left,0,3.679454295197502,sub-66389427
right,right,speed,NA,NA,NA,11,0,22,left,0,1.1322493210900575,sub-66389427
left,left,speed,NA,NA,NA,11,1,23,right,0,1.9865887351334095,sub-66389427
left,left,speed,NA,NA,NA,12,0,24,left,1,3.727860288927331,sub-66389427
right,right,speed,NA,NA,NA,12,1,25,left,0,5.502499477006495,sub-66389427
right,right,speed,NA,NA,NA,13,0,26,left,0,5.749878952978179,sub-66389427
left,left,speed,NA,NA,NA,13,1,27,left,1,3.3583029052242637,sub-66389427
right,right,speed,NA,NA,NA,14,0,28,left,0,3.2625604330096394,sub-66389427
