direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-31317724
right,right,NA,0,0,0,NA,NA,NA,right,1,3.620787458,sub-31317724
left,left,NA,0,1,1,NA,NA,NA,left,1,1.403525167,sub-31317724
left,left,NA,1,0,2,NA,NA,NA,left,1,2.697256334,sub-31317724
right,right,NA,1,1,3,NA,NA,NA,right,1,2.192703833,sub-31317724
left,left,NA,2,0,4,NA,NA,NA,left,1,2.588347291,sub-31317724
right,right,NA,2,1,5,NA,NA,NA,right,1,3.461820625,sub-31317724
left,left,NA,3,0,6,NA,NA,NA,left,1,3.70874525,sub-31317724
right,right,NA,3,1,7,NA,NA,NA,right,1,3.147105833,sub-31317724
right,right,NA,4,0,8,NA,NA,NA,left,0,2.581798875,sub-31317724
left,left,NA,4,1,9,NA,NA,NA,left,1,2.770200542,sub-31317724
left,left,NA,5,0,10,NA,NA,NA,left,1,3.157766291,sub-31317724
right,right,NA,5,1,11,NA,NA,NA,right,1,3.046381583,sub-31317724
right,right,NA,6,0,12,NA,NA,NA,left,0,3.020678083,sub-31317724
left,left,NA,6,1,13,NA,NA,NA,right,0,2.216880417,sub-31317724
right,right,NA,7,0,14,NA,NA,NA,left,0,5.669564833,sub-31317724
left,left,NA,7,1,15,NA,NA,NA,left,1,2.64161,sub-31317724
left,left,NA,8,0,16,NA,NA,NA,right,0,3.848797708,sub-31317724
right,right,NA,8,1,17,NA,NA,NA,left,0,3.388406125,sub-31317724
left,left,NA,9,0,18,NA,NA,NA,right,0,4.088706417,sub-31317724
right,right,NA,9,1,19,NA,NA,NA,right,1,3.12146225,sub-31317724
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-31317724
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-31317724
right,right,accuracy,NA,NA,NA,0,0,0,left,0,3.095897792,sub-31317724
left,left,accuracy,NA,NA,NA,0,1,1,right,0,3.797867125,sub-31317724
left,left,accuracy,NA,NA,NA,1,0,2,left,1,4.672411417,sub-31317724
right,right,accuracy,NA,NA,NA,1,1,3,right,1,3.551462959,sub-31317724
right,right,accuracy,NA,NA,NA,2,0,4,right,1,4.2208285,sub-31317724
left,left,accuracy,NA,NA,NA,2,1,5,right,0,4.205771625,sub-31317724
left,left,accuracy,NA,NA,NA,3,0,6,left,1,3.807967375,sub-31317724
right,right,accuracy,NA,NA,NA,3,1,7,right,1,4.764070416,sub-31317724
right,right,accuracy,NA,NA,NA,4,0,8,right,1,5.491756584,sub-31317724
left,left,accuracy,NA,NA,NA,4,1,9,right,0,6.225250375,sub-31317724
right,right,accuracy,NA,NA,NA,5,0,10,right,1,4.912055042,sub-31317724
left,left,accuracy,NA,NA,NA,5,1,11,left,1,2.976150042,sub-31317724
left,left,accuracy,NA,NA,NA,6,0,12,right,0,4.018877458,sub-31317724
right,right,accuracy,NA,NA,NA,6,1,13,right,1,5.676090333,sub-31317724
right,right,accuracy,NA,NA,NA,7,0,14,left,0,5.377227584,sub-31317724
left,left,accuracy,NA,NA,NA,7,1,15,right,0,4.180969083,sub-31317724
right,right,accuracy,NA,NA,NA,8,0,16,right,1,4.00502875,sub-31317724
left,left,accuracy,NA,NA,NA,8,1,17,left,1,4.404053209,sub-31317724
left,left,accuracy,NA,NA,NA,9,0,18,left,1,4.6705425,sub-31317724
right,right,accuracy,NA,NA,NA,9,1,19,right,1,4.714800583,sub-31317724
left,left,accuracy,NA,NA,NA,10,0,20,left,1,4.937427667,sub-31317724
right,right,accuracy,NA,NA,NA,10,1,21,right,1,4.418131166,sub-31317724
left,left,accuracy,NA,NA,NA,11,0,22,left,1,5.47489475,sub-31317724
right,right,accuracy,NA,NA,NA,11,1,23,left,0,5.372446,sub-31317724
right,right,accuracy,NA,NA,NA,12,0,24,left,0,5.686508666,sub-31317724
left,left,accuracy,NA,NA,NA,12,1,25,right,0,5.246327375,sub-31317724
right,right,accuracy,NA,NA,NA,13,0,26,left,0,5.705152166,sub-31317724
left,left,accuracy,NA,NA,NA,13,1,27,right,0,5.327746958,sub-31317724
left,left,accuracy,NA,NA,NA,14,0,28,right,0,5.8586695,sub-31317724
right,right,accuracy,NA,NA,NA,14,1,29,left,0,5.809700709,sub-31317724
left,left,accuracy,NA,NA,NA,15,0,30,left,1,2.640373792,sub-31317724
right,right,accuracy,NA,NA,NA,15,1,31,right,1,4.681370625,sub-31317724
left,left,accuracy,NA,NA,NA,16,0,32,left,1,3.17101775,sub-31317724
right,right,accuracy,NA,NA,NA,16,1,33,right,1,4.658739208,sub-31317724
left,left,accuracy,NA,NA,NA,17,0,34,left,1,4.964027625,sub-31317724
right,right,accuracy,NA,NA,NA,17,1,35,left,0,4.692089708,sub-31317724
right,right,accuracy,NA,NA,NA,18,0,36,right,1,5.65028125,sub-31317724
left,left,accuracy,NA,NA,NA,18,1,37,left,1,5.015856792,sub-31317724
right,right,accuracy,NA,NA,NA,19,0,38,left,0,3.369991458,sub-31317724
left,left,accuracy,NA,NA,NA,19,1,39,right,0,4.463855,sub-31317724
left,left,accuracy,NA,NA,NA,20,0,40,left,1,3.492361084,sub-31317724
