direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-15351427
left,left,NA,0,0,0,NA,NA,NA,right,0,1.5289704590004476,sub-15351427
right,right,NA,0,1,1,NA,NA,NA,right,1,1.8413449509998827,sub-15351427
left,left,NA,1,0,2,NA,NA,NA,left,1,0.8217367140005081,sub-15351427
right,right,NA,1,1,3,NA,NA,NA,right,1,0.5959395660001974,sub-15351427
right,right,NA,2,0,4,NA,NA,NA,right,1,0.7592388560005929,sub-15351427
left,left,NA,2,1,5,NA,NA,NA,left,1,0.6559748640001999,sub-15351427
right,right,NA,3,0,6,NA,NA,NA,right,1,0.690629835999971,sub-15351427
left,left,NA,3,1,7,NA,NA,NA,left,1,1.306039762999717,sub-15351427
right,right,NA,4,0,8,NA,NA,NA,right,1,0.8667785040006493,sub-15351427
left,left,NA,4,1,9,NA,NA,NA,left,1,0.7170534719998614,sub-15351427
right,right,NA,5,0,10,NA,NA,NA,right,1,0.5297155320004094,sub-15351427
left,left,NA,5,1,11,NA,NA,NA,left,1,0.6477871679999225,sub-15351427
right,right,NA,6,0,12,NA,NA,NA,right,1,0.6259954630004358,sub-15351427
left,left,NA,6,1,13,NA,NA,NA,left,1,0.8265953569998601,sub-15351427
right,right,NA,7,0,14,NA,NA,NA,right,1,0.7206444370003737,sub-15351427
left,left,NA,7,1,15,NA,NA,NA,right,0,0.6178183230003924,sub-15351427
right,right,NA,8,0,16,NA,NA,NA,right,1,0.5823984609996842,sub-15351427
left,left,NA,8,1,17,NA,NA,NA,left,1,0.5847564289997536,sub-15351427
right,right,NA,9,0,18,NA,NA,NA,right,1,0.5190512700000909,sub-15351427
left,left,NA,9,1,19,NA,NA,NA,left,1,0.5938382109998201,sub-15351427
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-15351427
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-15351427
left,left,speed,NA,NA,NA,0,0,0,right,0,0.7632346469999902,sub-15351427
right,right,speed,NA,NA,NA,0,1,1,left,0,1.4570507470007217,sub-15351427
right,right,speed,NA,NA,NA,1,0,2,right,1,0.9132053699995596,sub-15351427
left,left,speed,NA,NA,NA,1,1,3,left,1,0.61460837300001,sub-15351427
left,left,speed,NA,NA,NA,2,0,4,left,1,1.1393700299995544,sub-15351427
right,right,speed,NA,NA,NA,2,1,5,right,1,0.8825850220000575,sub-15351427
right,right,speed,NA,NA,NA,3,0,6,left,0,1.3421514299998307,sub-15351427
left,left,speed,NA,NA,NA,3,1,7,left,1,0.8673896460004471,sub-15351427
right,right,speed,NA,NA,NA,4,0,8,right,1,1.5059072670001117,sub-15351427
left,left,speed,NA,NA,NA,4,1,9,left,1,0.9056070799997542,sub-15351427
left,left,speed,NA,NA,NA,5,0,10,right,0,1.4230258850002429,sub-15351427
right,right,speed,NA,NA,NA,5,1,11,left,0,0.650340328999846,sub-15351427
right,right,speed,NA,NA,NA,6,0,12,right,1,0.7076102230003016,sub-15351427
left,left,speed,NA,NA,NA,6,1,13,left,1,1.0118714210002508,sub-15351427
right,right,speed,NA,NA,NA,7,0,14,right,1,0.6028715869997541,sub-15351427
left,left,speed,NA,NA,NA,7,1,15,right,0,1.2232422249999215,sub-15351427
right,right,speed,NA,NA,NA,8,0,16,left,0,0.8165897650005718,sub-15351427
left,left,speed,NA,NA,NA,8,1,17,right,0,0.729578679000042,sub-15351427
left,left,speed,NA,NA,NA,9,0,18,right,0,0.7632317199995668,sub-15351427
right,right,speed,NA,NA,NA,9,1,19,left,0,0.6133322920004503,sub-15351427
left,left,speed,NA,NA,NA,10,0,20,left,1,0.6284413260000292,sub-15351427
right,right,speed,NA,NA,NA,10,1,21,right,1,0.47240781300024537,sub-15351427
left,left,speed,NA,NA,NA,11,0,22,left,1,0.616253575999508,sub-15351427
right,right,speed,NA,NA,NA,11,1,23,right,1,0.5750846770006319,sub-15351427
right,right,speed,NA,NA,NA,12,0,24,left,0,1.456925788999797,sub-15351427
