direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-999990
left,left,NA,0,0,0,NA,NA,NA,right,0,1.8382361,sub-999990
right,right,NA,0,1,1,NA,NA,NA,right,1,2.5888811,sub-999990
right,right,NA,1,0,2,NA,NA,NA,left,0,1.8921316,sub-999990
left,left,NA,1,1,3,NA,NA,NA,right,0,3.9811592,sub-999990
right,right,NA,2,0,4,NA,NA,NA,right,1,2.8519607,sub-999990
left,left,NA,2,1,5,NA,NA,NA,left,1,1.9298651,sub-999990
left,left,NA,3,0,6,NA,NA,NA,left,1,3.3634337,sub-999990
right,right,NA,3,1,7,NA,NA,NA,right,1,1.7128606,sub-999990
right,right,NA,4,0,8,NA,NA,NA,right,1,2.5934585,sub-999990
left,left,NA,4,1,9,NA,NA,NA,left,1,1.3683712,sub-999990
right,right,NA,5,0,10,NA,NA,NA,right,1,1.527812,sub-999990
left,left,NA,5,1,11,NA,NA,NA,left,1,1.5599606,sub-999990
left,left,NA,6,0,12,NA,NA,NA,right,0,4.4214606,sub-999990
right,right,NA,6,1,13,NA,NA,NA,right,1,1.3268338,sub-999990
left,left,NA,7,0,14,NA,NA,NA,left,1,1.1031011,sub-999990
right,right,NA,7,1,15,NA,NA,NA,right,1,1.262443,sub-999990
right,right,NA,8,0,16,NA,NA,NA,left,0,2.4264754,sub-999990
left,left,NA,8,1,17,NA,NA,NA,left,1,1.0331755,sub-999990
right,right,NA,9,0,18,NA,NA,NA,right,1,1.1678824,sub-999990
left,left,NA,9,1,19,NA,NA,NA,right,0,2.6242421,sub-999990
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-999990
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-999990
right,right,speed,NA,NA,NA,0,0,0,right,1,0.8365374,sub-999990
left,left,speed,NA,NA,NA,0,1,1,left,1,1.0442383,sub-999990
right,right,speed,NA,NA,NA,1,0,2,right,1,0.9620202,sub-999990
left,left,speed,NA,NA,NA,1,1,3,left,1,2.0603969,sub-999990
left,left,speed,NA,NA,NA,2,0,4,left,1,1.1202517,sub-999990
right,right,speed,NA,NA,NA,2,1,5,right,1,1.4591177,sub-999990
left,left,speed,NA,NA,NA,3,0,6,right,0,2.0388244,sub-999990
right,right,speed,NA,NA,NA,3,1,7,left,0,3.2765221,sub-999990
left,left,speed,NA,NA,NA,4,0,8,left,1,1.4565674,sub-999990
right,right,speed,NA,NA,NA,4,1,9,right,1,1.5191878,sub-999990
left,left,speed,NA,NA,NA,5,0,10,left,1,3.7877097,sub-999990
right,right,speed,NA,NA,NA,5,1,11,right,1,0.8895672,sub-999990
left,left,speed,NA,NA,NA,6,0,12,left,1,2.0778449,sub-999990
right,right,speed,NA,NA,NA,6,1,13,right,1,1.1277865,sub-999990
right,right,speed,NA,NA,NA,7,0,14,right,1,2.4850895,sub-999990
left,left,speed,NA,NA,NA,7,1,15,left,1,1.0373081,sub-999990
left,left,speed,NA,NA,NA,8,0,16,right,0,0.8403362,sub-999990
