direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-33561202
left,left,NA,0,0,0,NA,NA,NA,left,1,6.4597724,sub-33561202
right,right,NA,0,1,1,NA,NA,NA,right,1,2.120573,sub-33561202
left,left,NA,1,0,2,NA,NA,NA,left,1,2.7371169,sub-33561202
right,right,NA,1,1,3,NA,NA,NA,right,1,0.8960633,sub-33561202
left,left,NA,2,0,4,NA,NA,NA,left,1,1.9847478,sub-33561202
right,right,NA,2,1,5,NA,NA,NA,right,1,0.91483,sub-33561202
left,left,NA,3,0,6,NA,NA,NA,left,1,0.8880272,sub-33561202
right,right,NA,3,1,7,NA,NA,NA,right,1,2.036919,sub-33561202
right,right,NA,4,0,8,NA,NA,NA,left,0,0.8582236,sub-33561202
left,left,NA,4,1,9,NA,NA,NA,left,1,0.8830045,sub-33561202
right,right,NA,5,0,10,NA,NA,NA,left,0,0.7235906,sub-33561202
left,left,NA,5,1,11,NA,NA,NA,right,0,1.2893489,sub-33561202
right,right,NA,6,0,12,NA,NA,NA,left,0,0.6850962,sub-33561202
left,left,NA,6,1,13,NA,NA,NA,left,1,0.7586625,sub-33561202
right,right,NA,7,0,14,NA,NA,NA,right,1,0.7507709,sub-33561202
left,left,NA,7,1,15,NA,NA,NA,left,1,0.9632782,sub-33561202
right,right,NA,8,0,16,NA,NA,NA,left,0,1.0782406,sub-33561202
left,left,NA,8,1,17,NA,NA,NA,left,1,1.4687848,sub-33561202
left,left,NA,9,0,18,NA,NA,NA,right,0,0.7300454,sub-33561202
right,right,NA,9,1,19,NA,NA,NA,left,0,1.4785907,sub-33561202
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-33561202
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-33561202
right,right,accuracy,NA,NA,NA,0,0,0,right,1,2.2712507,sub-33561202
left,left,accuracy,NA,NA,NA,0,1,1,left,1,2.6421892,sub-33561202
