direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-42021012
right,right,NA,0,0,0,NA,NA,NA,right,1,7.2910729,sub-42021012
left,left,NA,0,1,1,NA,NA,NA,left,1,5.6953543,sub-42021012
right,right,NA,1,0,2,NA,NA,NA,right,1,5.8629234,sub-42021012
left,left,NA,1,1,3,NA,NA,NA,left,1,1.4535755,sub-42021012
right,right,NA,2,0,4,NA,NA,NA,right,1,0.9840539,sub-42021012
left,left,NA,2,1,5,NA,NA,NA,left,1,1.2111589,sub-42021012
right,right,NA,3,0,6,NA,NA,NA,right,1,1.1253297,sub-42021012
left,left,NA,3,1,7,NA,NA,NA,left,1,0.8254298,sub-42021012
right,right,NA,4,0,8,NA,NA,NA,right,1,0.9967986,sub-42021012
left,left,NA,4,1,9,NA,NA,NA,left,1,1.1493796,sub-42021012
left,left,NA,5,0,10,NA,NA,NA,left,1,2.7942742,sub-42021012
right,right,NA,5,1,11,NA,NA,NA,right,1,1.3966302,sub-42021012
left,left,NA,6,0,12,NA,NA,NA,left,1,0.7584605,sub-42021012
right,right,NA,6,1,13,NA,NA,NA,right,1,2.7497383,sub-42021012
left,left,NA,7,0,14,NA,NA,NA,left,1,0.7939634,sub-42021012
right,right,NA,7,1,15,NA,NA,NA,right,1,0.7600768,sub-42021012
left,left,NA,8,0,16,NA,NA,NA,left,1,0.7040326,sub-42021012
right,right,NA,8,1,17,NA,NA,NA,right,1,0.6897137,sub-42021012
left,left,NA,9,0,18,NA,NA,NA,left,1,0.9038129,sub-42021012
right,right,NA,9,1,19,NA,NA,NA,right,1,1.333953,sub-42021012
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-42021012
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-42021012
right,right,speed,NA,NA,NA,0,0,0,right,1,0.8419511,sub-42021012
left,left,speed,NA,NA,NA,0,1,1,left,1,0.3415789,sub-42021012
left,left,speed,NA,NA,NA,1,0,2,right,0,0.7199666,sub-42021012
right,right,speed,NA,NA,NA,1,1,3,left,0,0.9585039,sub-42021012
right,right,speed,NA,NA,NA,2,0,4,right,1,0.4812042,sub-42021012
left,left,speed,NA,NA,NA,2,1,5,left,1,0.5147445,sub-42021012
right,right,speed,NA,NA,NA,3,0,6,right,1,0.5623401,sub-42021012
left,left,speed,NA,NA,NA,3,1,7,left,1,0.5196122,sub-42021012
left,left,speed,NA,NA,NA,4,0,8,left,1,0.6565444,sub-42021012
right,right,speed,NA,NA,NA,4,1,9,right,1,0.5584979,sub-42021012
right,right,speed,NA,NA,NA,5,0,10,left,0,0.5246083,sub-42021012
left,left,speed,NA,NA,NA,5,1,11,right,0,0.5913493,sub-42021012
