direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
left,left,speed,NA,NA,NA,12,1,25,right,0,0.294248,sub-68657905
left,left,speed,NA,NA,NA,13,0,26,left,1,3.528446,sub-68657905
right,right,speed,NA,NA,NA,13,1,27,right,1,0.3065473,sub-68657905
right,right,speed,NA,NA,NA,14,0,28,left,0,0.9695959,sub-68657905
left,left,speed,NA,NA,NA,14,1,29,left,1,0.1007285,sub-68657905
right,right,speed,NA,NA,NA,15,0,30,right,1,0.2022933,sub-68657905
left,left,speed,NA,NA,NA,15,1,31,right,0,0.0396465,sub-68657905
left,left,speed,NA,NA,NA,16,0,32,right,0,0.0603083,sub-68657905
right,right,speed,NA,NA,NA,16,1,33,right,1,0.1618421,sub-68657905
right,right,speed,NA,NA,NA,17,0,34,right,1,0.0635792,sub-68657905
left,left,speed,NA,NA,NA,17,1,35,right,0,0.08635,sub-68657905
left,left,speed,NA,NA,NA,18,0,36,left,1,0.1283497,sub-68657905
right,right,speed,NA,NA,NA,18,1,37,left,0,0.0490724,sub-68657905
left,left,speed,NA,NA,NA,19,0,38,left,1,0.1153492,sub-68657905
right,right,speed,NA,NA,NA,19,1,39,left,0,0.07005,sub-68657905
right,right,speed,NA,NA,NA,20,0,40,left,0,0.008672,sub-68657905
left,left,speed,NA,NA,NA,20,1,41,left,1,0.0800195,sub-68657905
right,right,speed,NA,NA,NA,21,0,42,left,0,0.6914147,sub-68657905
left,left,speed,NA,NA,NA,21,1,43,left,1,1.2507903,sub-68657905
left,left,speed,NA,NA,NA,22,0,44,left,1,0.3596457,sub-68657905
right,right,speed,NA,NA,NA,22,1,45,left,0,0.3171114,sub-68657905
right,right,speed,NA,NA,NA,23,0,46,right,1,1.5096961,sub-68657905
left,left,speed,NA,NA,NA,23,1,47,right,0,0.3278704,sub-68657905
left,left,speed,NA,NA,NA,24,0,48,left,1,1.6014172,sub-68657905
right,right,speed,NA,NA,NA,24,1,49,left,0,0.3117323,sub-68657905
right,right,speed,NA,NA,NA,25,0,50,left,0,0.2663789,sub-68657905
left,left,speed,NA,NA,NA,25,1,51,right,0,0.2983945,sub-68657905
right,right,speed,NA,NA,NA,26,0,52,left,0,0.2786701,sub-68657905
left,left,speed,NA,NA,NA,26,1,53,right,0,0.3513046,sub-68657905
right,right,speed,NA,NA,NA,27,0,54,left,0,3.2955598,sub-68657905
left,left,speed,NA,NA,NA,27,1,55,right,0,0.2836892,sub-68657905
left,left,speed,NA,NA,NA,28,0,56,left,1,0.3123338,sub-68657905
right,right,speed,NA,NA,NA,28,1,57,right,1,1.1819038,sub-68657905
right,right,speed,NA,NA,NA,29,0,58,right,1,2.7841586,sub-68657905
left,left,speed,NA,NA,NA,29,1,59,left,1,1.09497,sub-68657905
NA,NA,speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-68657905
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-68657905
