direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-87392208
right,right,NA,0,0,0,NA,NA,NA,left,0,8.493903036,sub-87392208
left,left,NA,0,1,1,NA,NA,NA,right,0,3.198310902,sub-87392208
left,left,NA,1,0,2,NA,NA,NA,right,0,0.957457478,sub-87392208
right,right,NA,1,1,3,NA,NA,NA,right,1,0.905279954,sub-87392208
left,left,NA,2,0,4,NA,NA,NA,left,1,4.866442428,sub-87392208
right,right,NA,2,1,5,NA,NA,NA,right,1,3.32292199,sub-87392208
right,right,NA,3,0,6,NA,NA,NA,left,0,1.741464666,sub-87392208
left,left,NA,3,1,7,NA,NA,NA,left,1,2.130161996,sub-87392208
right,right,NA,4,0,8,NA,NA,NA,right,1,2.567826985,sub-87392208
left,left,NA,4,1,9,NA,NA,NA,left,1,3.054784414,sub-87392208
right,right,NA,5,0,10,NA,NA,NA,left,0,1.859127528,sub-87392208
left,left,NA,5,1,11,NA,NA,NA,right,0,2.819721148,sub-87392208
left,left,NA,6,0,12,NA,NA,NA,right,0,2.614728701,sub-87392208
right,right,NA,6,1,13,NA,NA,NA,right,1,4.616703933,sub-87392208
left,left,NA,7,0,14,NA,NA,NA,left,1,3.33754226,sub-87392208
right,right,NA,7,1,15,NA,NA,NA,left,0,2.875221,sub-87392208
left,left,NA,8,0,16,NA,NA,NA,left,1,1.400182791,sub-87392208
right,right,NA,8,1,17,NA,NA,NA,right,1,2.286547674,sub-87392208
right,right,NA,9,0,18,NA,NA,NA,right,1,1.468853291,sub-87392208
left,left,NA,9,1,19,NA,NA,NA,left,1,3.558250021,sub-87392208
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-87392208
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-87392208
left,left,speed,NA,NA,NA,0,0,0,left,1,0.666275484,sub-87392208
right,right,speed,NA,NA,NA,0,1,1,right,1,0.756136855,sub-87392208
right,right,speed,NA,NA,NA,1,0,2,right,1,0.815955533,sub-87392208
left,left,speed,NA,NA,NA,1,1,3,left,1,0.67530432,sub-87392208
left,left,speed,NA,NA,NA,2,0,4,left,1,0.650629871,sub-87392208
right,right,speed,NA,NA,NA,2,1,5,left,0,1.216152004,sub-87392208
right,right,speed,NA,NA,NA,3,0,6,right,1,0.843553612,sub-87392208
left,left,speed,NA,NA,NA,3,1,7,right,0,1.031796957,sub-87392208
right,right,speed,NA,NA,NA,4,0,8,left,0,1.289393098,sub-87392208
left,left,speed,NA,NA,NA,4,1,9,right,0,1.297584337,sub-87392208
left,left,speed,NA,NA,NA,5,0,10,left,1,0.88537133,sub-87392208
right,right,speed,NA,NA,NA,5,1,11,left,0,0.925687029,sub-87392208
right,right,speed,NA,NA,NA,6,0,12,left,0,0.868238182,sub-87392208
left,left,speed,NA,NA,NA,6,1,13,left,1,1.203178733,sub-87392208
left,left,speed,NA,NA,NA,7,0,14,right,0,1.161407156,sub-87392208
right,right,speed,NA,NA,NA,7,1,15,left,0,1.598567154,sub-87392208
left,left,speed,NA,NA,NA,8,0,16,right,0,0.907365025,sub-87392208
right,right,speed,NA,NA,NA,8,1,17,right,1,0.919692331,sub-87392208
right,right,speed,NA,NA,NA,9,0,18,right,1,1.739763847,sub-87392208
left,left,speed,NA,NA,NA,9,1,19,left,1,1.466275635,sub-87392208
right,right,speed,NA,NA,NA,10,0,20,left,0,1.593355021,sub-87392208
left,left,speed,NA,NA,NA,10,1,21,left,1,0.922016684,sub-87392208
left,left,speed,NA,NA,NA,11,0,22,right,0,1.182385396,sub-87392208
right,right,speed,NA,NA,NA,11,1,23,right,1,1.338877614,sub-87392208
left,left,speed,NA,NA,NA,12,0,24,right,0,1.549432289,sub-87392208
right,right,speed,NA,NA,NA,12,1,25,left,0,1.057254022,sub-87392208
