direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-45601361
left,left,NA,0,0,0,NA,NA,NA,right,0,0.3925812,sub-45601361
right,right,NA,0,1,1,NA,NA,NA,left,0,2.349040901,sub-45601361
right,right,NA,1,0,2,NA,NA,NA,left,0,0.789774099,sub-45601361
left,left,NA,1,1,3,NA,NA,NA,right,0,0.8619215,sub-45601361
left,left,NA,2,0,4,NA,NA,NA,left,1,2.349907801,sub-45601361
right,right,NA,2,1,5,NA,NA,NA,right,1,2.241204999,sub-45601361
right,right,NA,3,0,6,NA,NA,NA,right,1,2.5315226,sub-45601361
left,left,NA,3,1,7,NA,NA,NA,left,1,0.867997,sub-45601361
right,right,NA,4,0,8,NA,NA,NA,right,1,1.995817199,sub-45601361
left,left,NA,4,1,9,NA,NA,NA,left,1,1.5181717,sub-45601361
right,right,NA,5,0,10,NA,NA,NA,right,1,2.7857989,sub-45601361
left,left,NA,5,1,11,NA,NA,NA,left,1,0.9956927,sub-45601361
right,right,NA,6,0,12,NA,NA,NA,right,1,1.4267247,sub-45601361
left,left,NA,6,1,13,NA,NA,NA,left,1,0.974475998,sub-45601361
right,right,NA,7,0,14,NA,NA,NA,right,1,1.442887701,sub-45601361
left,left,NA,7,1,15,NA,NA,NA,left,1,0.9326465,sub-45601361
right,right,NA,8,0,16,NA,NA,NA,right,1,1.030732401,sub-45601361
left,left,NA,8,1,17,NA,NA,NA,right,0,2.569023401,sub-45601361
left,left,NA,9,0,18,NA,NA,NA,right,0,1.265698001,sub-45601361
right,right,NA,9,1,19,NA,NA,NA,left,0,1.0208639,sub-45601361
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-45601361
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-45601361
right,right,speed,NA,NA,NA,0,0,0,right,1,1.4683828,sub-45601361
left,left,speed,NA,NA,NA,0,1,1,left,1,0.4846341,sub-45601361
right,right,speed,NA,NA,NA,1,0,2,right,1,0.5949558,sub-45601361
left,left,speed,NA,NA,NA,1,1,3,left,1,0.727850201,sub-45601361
left,left,speed,NA,NA,NA,2,0,4,left,1,0.7048964,sub-45601361
right,right,speed,NA,NA,NA,2,1,5,right,1,0.750825301,sub-45601361
left,left,speed,NA,NA,NA,3,0,6,left,1,0.642572999,sub-45601361
right,right,speed,NA,NA,NA,3,1,7,right,1,0.653847901,sub-45601361
right,right,speed,NA,NA,NA,4,0,8,right,1,0.778957302,sub-45601361
left,left,speed,NA,NA,NA,4,1,9,right,0,0.8570677,sub-45601361
left,left,speed,NA,NA,NA,5,0,10,left,1,0.5716059,sub-45601361
right,right,speed,NA,NA,NA,5,1,11,right,1,0.8106679,sub-45601361
right,right,speed,NA,NA,NA,6,0,12,left,0,1.656803701,sub-45601361
left,left,speed,NA,NA,NA,6,1,13,right,0,1.501774801,sub-45601361
right,right,speed,NA,NA,NA,7,0,14,right,1,0.8271605,sub-45601361
left,left,speed,NA,NA,NA,7,1,15,left,1,1.5948516,sub-45601361
left,left,speed,NA,NA,NA,8,0,16,right,0,0.806961501,sub-45601361
right,right,speed,NA,NA,NA,8,1,17,right,1,0.701279199,sub-45601361
left,left,speed,NA,NA,NA,9,0,18,left,1,0.625393,sub-45601361
right,right,speed,NA,NA,NA,9,1,19,right,1,0.723746799,sub-45601361
left,left,speed,NA,NA,NA,10,0,20,right,0,0.682689799,sub-45601361
right,right,speed,NA,NA,NA,10,1,21,left,0,1.8401949,sub-45601361
right,right,speed,NA,NA,NA,11,0,22,right,1,0.9016928,sub-45601361
left,left,speed,NA,NA,NA,11,1,23,left,1,0.5863393,sub-45601361
left,left,speed,NA,NA,NA,12,0,24,left,1,0.718952199,sub-45601361
right,right,speed,NA,NA,NA,12,1,25,right,1,0.637761001,sub-45601361
right,right,speed,NA,NA,NA,13,0,26,left,0,0.700685101,sub-45601361
left,left,speed,NA,NA,NA,13,1,27,left,1,0.571673701,sub-45601361
left,left,speed,NA,NA,NA,14,0,28,right,0,1.0219029,sub-45601361
right,right,speed,NA,NA,NA,14,1,29,left,0,0.870582599,sub-45601361
right,right,speed,NA,NA,NA,15,0,30,right,1,0.668957399,sub-45601361
left,left,speed,NA,NA,NA,15,1,31,left,1,1.548268599,sub-45601361
left,left,speed,NA,NA,NA,16,0,32,right,0,1.590007199,sub-45601361
right,right,speed,NA,NA,NA,16,1,33,right,1,1.081634799,sub-45601361
right,right,speed,NA,NA,NA,17,0,34,left,0,2.928883702,sub-45601361
left,left,speed,NA,NA,NA,17,1,35,right,0,0.936469801,sub-45601361
right,right,speed,NA,NA,NA,18,0,36,right,1,0.947834101,sub-45601361
left,left,speed,NA,NA,NA,18,1,37,left,1,1.1811428,sub-45601361
right,right,speed,NA,NA,NA,19,0,38,right,1,1.1594184,sub-45601361
left,left,speed,NA,NA,NA,19,1,39,left,1,0.923958398,sub-45601361
right,right,speed,NA,NA,NA,20,0,40,right,1,0.962546401,sub-45601361
left,left,speed,NA,NA,NA,20,1,41,right,0,2.077039301,sub-45601361
