direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29988765
left,left,NA,0,0,0,NA,NA,NA,left,1,1.6038560000015425,sub-29988765
right,right,NA,0,1,1,NA,NA,NA,right,1,0.7284844999958295,sub-29988765
left,left,NA,1,0,2,NA,NA,NA,left,1,0.7227454999811016,sub-29988765
right,right,NA,1,1,3,NA,NA,NA,right,1,1.0453368999878876,sub-29988765
left,left,NA,2,0,4,NA,NA,NA,left,1,0.6831468000018504,sub-29988765
right,right,NA,2,1,5,NA,NA,NA,right,1,0.5143203999905381,sub-29988765
right,right,NA,3,0,6,NA,NA,NA,right,1,0.6697709999862127,sub-29988765
left,left,NA,3,1,7,NA,NA,NA,left,1,1.4251614999957385,sub-29988765
right,right,NA,4,0,8,NA,NA,NA,right,1,0.7569332999992184,sub-29988765
left,left,NA,4,1,9,NA,NA,NA,left,1,1.2197451000101864,sub-29988765
left,left,NA,5,0,10,NA,NA,NA,right,0,0.6654204000078607,sub-29988765
right,right,NA,5,1,11,NA,NA,NA,right,1,1.5199446000042371,sub-29988765
left,left,NA,6,0,12,NA,NA,NA,left,1,0.6117235999845434,sub-29988765
right,right,NA,6,1,13,NA,NA,NA,right,1,0.8536416999995708,sub-29988765
right,right,NA,7,0,14,NA,NA,NA,right,1,0.6237491000210866,sub-29988765
left,left,NA,7,1,15,NA,NA,NA,right,0,0.61579760001041,sub-29988765
left,left,NA,8,0,16,NA,NA,NA,left,1,0.797079499985557,sub-29988765
right,right,NA,8,1,17,NA,NA,NA,left,0,0.6724461000121664,sub-29988765
right,right,NA,9,0,18,NA,NA,NA,right,1,0.6360631999850739,sub-29988765
left,left,NA,9,1,19,NA,NA,NA,right,0,0.6572397999989334,sub-29988765
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29988765
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29988765
right,right,speed,NA,NA,NA,0,0,0,right,1,0.9482737999933306,sub-29988765
left,left,speed,NA,NA,NA,0,1,1,left,1,0.5581624000042211,sub-29988765
left,left,speed,NA,NA,NA,1,0,2,left,1,0.6033442000043578,sub-29988765
right,right,speed,NA,NA,NA,1,1,3,left,0,0.7216646999877412,sub-29988765
left,left,speed,NA,NA,NA,2,0,4,left,1,0.9473231000010855,sub-29988765
right,right,speed,NA,NA,NA,2,1,5,right,1,1.4974375999881886,sub-29988765
right,right,speed,NA,NA,NA,3,0,6,right,1,0.7096810999792069,sub-29988765
