direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-82033250
right,right,NA,0,0,0,NA,NA,NA,right,1,2.7173464,sub-82033250
left,left,NA,0,1,1,NA,NA,NA,left,1,1.0440361,sub-82033250
right,right,NA,1,0,2,NA,NA,NA,right,1,2.3541532,sub-82033250
left,left,NA,1,1,3,NA,NA,NA,left,1,1.0190824,sub-82033250
left,left,NA,2,0,4,NA,NA,NA,left,1,1.4921552,sub-82033250
right,right,NA,2,1,5,NA,NA,NA,left,0,1.0968898,sub-82033250
left,left,NA,3,0,6,NA,NA,NA,left,1,2.9539803,sub-82033250
right,right,NA,3,1,7,NA,NA,NA,right,1,0.9729607,sub-82033250
right,right,NA,4,0,8,NA,NA,NA,right,1,2.799197,sub-82033250
left,left,NA,4,1,9,NA,NA,NA,left,1,0.8482284,sub-82033250
left,left,NA,5,0,10,NA,NA,NA,left,1,0.9175215,sub-82033250
right,right,NA,5,1,11,NA,NA,NA,right,1,0.8959975,sub-82033250
right,right,NA,6,0,12,NA,NA,NA,right,1,0.9384938,sub-82033250
left,left,NA,6,1,13,NA,NA,NA,left,1,0.7923589,sub-82033250
left,left,NA,7,0,14,NA,NA,NA,left,1,0.7366879,sub-82033250
right,right,NA,7,1,15,NA,NA,NA,left,0,0.837976,sub-82033250
left,left,NA,8,0,16,NA,NA,NA,left,1,0.8493614,sub-82033250
right,right,NA,8,1,17,NA,NA,NA,right,1,0.8345128,sub-82033250
left,left,NA,9,0,18,NA,NA,NA,left,1,0.7565789,sub-82033250
right,right,NA,9,1,19,NA,NA,NA,right,1,2.2138536,sub-82033250
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-82033250
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-82033250
right,right,speed,NA,NA,NA,0,0,0,right,1,0.696298,sub-82033250
left,left,speed,NA,NA,NA,0,1,1,left,1,0.6939142,sub-82033250
right,right,speed,NA,NA,NA,1,0,2,right,1,0.622314,sub-82033250
left,left,speed,NA,NA,NA,1,1,3,left,1,0.5316988,sub-82033250
left,left,speed,NA,NA,NA,2,0,4,right,0,0.6489139,sub-82033250
right,right,speed,NA,NA,NA,2,1,5,right,1,1.4865208,sub-82033250
left,left,speed,NA,NA,NA,3,0,6,left,1,0.585135,sub-82033250
right,right,speed,NA,NA,NA,3,1,7,right,1,0.5800733,sub-82033250
left,left,speed,NA,NA,NA,4,0,8,right,0,0.7228616,sub-82033250
right,right,speed,NA,NA,NA,4,1,9,right,1,0.6845066,sub-82033250
left,left,speed,NA,NA,NA,5,0,10,left,1,0.5077197,sub-82033250
right,right,speed,NA,NA,NA,5,1,11,right,1,0.57139740000000006,sub-82033250
left,left,speed,NA,NA,NA,6,0,12,left,1,0.6181708,sub-82033250
right,right,speed,NA,NA,NA,6,1,13,right,1,0.6804275,sub-82033250
right,right,speed,NA,NA,NA,7,0,14,right,1,0.8097526,sub-82033250
left,left,speed,NA,NA,NA,7,1,15,left,1,0.6824786,sub-82033250
left,left,speed,NA,NA,NA,8,0,16,left,1,0.6544244,sub-82033250
right,right,speed,NA,NA,NA,8,1,17,right,1,0.5171551,sub-82033250
left,left,speed,NA,NA,NA,9,0,18,left,1,0.5376341,sub-82033250
right,right,speed,NA,NA,NA,9,1,19,right,1,0.4683812,sub-82033250
right,right,speed,NA,NA,NA,10,0,20,right,1,0.4838749,sub-82033250
left,left,speed,NA,NA,NA,10,1,21,left,1,0.4292158,sub-82033250
left,left,speed,NA,NA,NA,11,0,22,left,1,0.564321,sub-82033250
right,right,speed,NA,NA,NA,11,1,23,right,1,0.5495307,sub-82033250
right,right,speed,NA,NA,NA,12,0,24,right,1,0.4912452,sub-82033250
left,left,speed,NA,NA,NA,12,1,25,left,1,0.6348532,sub-82033250
right,right,speed,NA,NA,NA,13,0,26,right,1,0.4961554,sub-82033250
left,left,speed,NA,NA,NA,13,1,27,left,1,0.3809241,sub-82033250
left,left,speed,NA,NA,NA,14,0,28,right,0,0.3937534,sub-82033250
right,right,speed,NA,NA,NA,14,1,29,right,1,0.549744,sub-82033250
left,left,speed,NA,NA,NA,15,0,30,left,1,0.6694167,sub-82033250
right,right,speed,NA,NA,NA,15,1,31,right,1,0.6057082,sub-82033250
right,right,speed,NA,NA,NA,16,0,32,right,1,0.673055,sub-82033250
left,left,speed,NA,NA,NA,16,1,33,left,1,0.5931628,sub-82033250
right,right,speed,NA,NA,NA,17,0,34,right,1,0.5079122,sub-82033250
left,left,speed,NA,NA,NA,17,1,35,left,1,0.5186712,sub-82033250
right,right,speed,NA,NA,NA,18,0,36,right,1,0.5539403,sub-82033250
left,left,speed,NA,NA,NA,18,1,37,left,1,0.6670562,sub-82033250
right,right,speed,NA,NA,NA,19,0,38,right,1,0.817571,sub-82033250
left,left,speed,NA,NA,NA,19,1,39,right,0,3.0085805,sub-82033250
left,left,speed,NA,NA,NA,20,0,40,left,1,0.6803135,sub-82033250
right,right,speed,NA,NA,NA,20,1,41,right,1,0.681249,sub-82033250
right,right,speed,NA,NA,NA,21,0,42,right,1,0.5495023,sub-82033250
left,left,speed,NA,NA,NA,21,1,43,left,1,0.5049934,sub-82033250
right,right,speed,NA,NA,NA,22,0,44,left,0,0.4496725,sub-82033250
left,left,speed,NA,NA,NA,22,1,45,right,0,0.6489243,sub-82033250
left,left,speed,NA,NA,NA,23,0,46,left,1,0.5666069,sub-82033250
right,right,speed,NA,NA,NA,23,1,47,right,1,0.5338397,sub-82033250
right,right,speed,NA,NA,NA,24,0,48,right,1,0.5553721,sub-82033250
left,left,speed,NA,NA,NA,24,1,49,left,1,0.4875139,sub-82033250
right,right,speed,NA,NA,NA,25,0,50,right,1,0.5340752,sub-82033250
left,left,speed,NA,NA,NA,25,1,51,left,1,0.9023667,sub-82033250
left,left,speed,NA,NA,NA,26,0,52,right,0,0.9475581,sub-82033250
right,right,speed,NA,NA,NA,26,1,53,right,1,0.658721,sub-82033250
right,right,speed,NA,NA,NA,27,0,54,right,1,0.6690923,sub-82033250
left,left,speed,NA,NA,NA,27,1,55,right,0,0.6775821,sub-82033250
left,left,speed,NA,NA,NA,28,0,56,left,1,0.6203178,sub-82033250
right,right,speed,NA,NA,NA,28,1,57,right,1,0.6165614,sub-82033250
left,left,speed,NA,NA,NA,29,0,58,left,1,0.6640102,sub-82033250
right,right,speed,NA,NA,NA,29,1,59,right,1,0.6371765,sub-82033250
NA,NA,speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-82033250
left,left,accuracy,NA,NA,NA,0,0,0,right,0,0.9506215,sub-82033250
right,right,accuracy,NA,NA,NA,0,1,1,right,1,0.9921161,sub-82033250
right,right,accuracy,NA,NA,NA,1,0,2,right,1,0.9154992,sub-82033250
left,left,accuracy,NA,NA,NA,1,1,3,left,1,3.5318269,sub-82033250
left,left,accuracy,NA,NA,NA,2,0,4,left,1,1.2635403,sub-82033250
right,right,accuracy,NA,NA,NA,2,1,5,right,1,0.6834937,sub-82033250
right,right,accuracy,NA,NA,NA,3,0,6,right,1,0.8421535,sub-82033250
left,left,accuracy,NA,NA,NA,3,1,7,left,1,0.871425,sub-82033250
left,left,accuracy,NA,NA,NA,4,0,8,left,1,0.782282,sub-82033250
right,right,accuracy,NA,NA,NA,4,1,9,right,1,0.805933,sub-82033250
right,right,accuracy,NA,NA,NA,5,0,10,right,1,0.794553,sub-82033250
left,left,accuracy,NA,NA,NA,5,1,11,left,1,0.7273882,sub-82033250
left,left,accuracy,NA,NA,NA,6,0,12,left,1,0.6987573,sub-82033250
right,right,accuracy,NA,NA,NA,6,1,13,right,1,0.6604985,sub-82033250
left,left,accuracy,NA,NA,NA,7,0,14,left,1,0.7235259,sub-82033250
right,right,accuracy,NA,NA,NA,7,1,15,right,1,0.617771,sub-82033250
left,left,accuracy,NA,NA,NA,8,0,16,left,1,0.5652475,sub-82033250
right,right,accuracy,NA,NA,NA,8,1,17,right,1,0.6454567,sub-82033250
right,right,accuracy,NA,NA,NA,9,0,18,left,0,0.6510488,sub-82033250
left,left,accuracy,NA,NA,NA,9,1,19,left,1,0.6561465,sub-82033250
right,right,accuracy,NA,NA,NA,10,0,20,right,1,0.6546027,sub-82033250
left,left,accuracy,NA,NA,NA,10,1,21,left,1,0.5184469,sub-82033250
left,left,accuracy,NA,NA,NA,11,0,22,left,1,0.53776,sub-82033250
right,right,accuracy,NA,NA,NA,11,1,23,right,1,0.5656224,sub-82033250
left,left,accuracy,NA,NA,NA,12,0,24,left,1,0.6502027,sub-82033250
right,right,accuracy,NA,NA,NA,12,1,25,right,1,0.6412036,sub-82033250
