direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-36155221
right,right,NA,0,0,0,NA,NA,NA,right,1,45.1424214,sub-36155221
left,left,NA,0,1,1,NA,NA,NA,left,1,1.5315078,sub-36155221
left,left,NA,1,0,2,NA,NA,NA,right,0,0.9538326,sub-36155221
right,right,NA,1,1,3,NA,NA,NA,right,1,0.5419676,sub-36155221
left,left,NA,2,0,4,NA,NA,NA,left,1,0.5152516,sub-36155221
right,right,NA,2,1,5,NA,NA,NA,right,1,0.6042485,sub-36155221
right,right,NA,3,0,6,NA,NA,NA,left,0,1.2100358,sub-36155221
left,left,NA,3,1,7,NA,NA,NA,right,0,2.0055498,sub-36155221
right,right,NA,4,0,8,NA,NA,NA,right,1,1.5119124,sub-36155221
left,left,NA,4,1,9,NA,NA,NA,right,0,0.7523829,sub-36155221
left,left,NA,5,0,10,NA,NA,NA,right,0,0.7932735,sub-36155221
right,right,NA,5,1,11,NA,NA,NA,right,1,1.12322,sub-36155221
right,right,NA,6,0,12,NA,NA,NA,left,0,1.9925764,sub-36155221
left,left,NA,6,1,13,NA,NA,NA,left,1,3.2064265,sub-36155221
left,left,NA,7,0,14,NA,NA,NA,right,0,1.7258169,sub-36155221
right,right,NA,7,1,15,NA,NA,NA,right,1,1.025837,sub-36155221
left,left,NA,8,0,16,NA,NA,NA,left,1,2.568404,sub-36155221
right,right,NA,8,1,17,NA,NA,NA,right,1,1.8412843,sub-36155221
left,left,NA,9,0,18,NA,NA,NA,left,1,1.7902898,sub-36155221
right,right,NA,9,1,19,NA,NA,NA,right,1,1.7679525,sub-36155221
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-36155221
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-36155221
right,right,speed,NA,NA,NA,0,0,0,right,1,1.1730271,sub-36155221
left,left,speed,NA,NA,NA,0,1,1,left,1,0.6096979,sub-36155221
right,right,speed,NA,NA,NA,1,0,2,right,1,0.6586512,sub-36155221
left,left,speed,NA,NA,NA,1,1,3,left,1,0.7918523,sub-36155221
right,right,speed,NA,NA,NA,2,0,4,left,0,0.8530394,sub-36155221
left,left,speed,NA,NA,NA,2,1,5,right,0,1.4007882,sub-36155221
right,right,speed,NA,NA,NA,3,0,6,left,0,2.9652695,sub-36155221
left,left,speed,NA,NA,NA,3,1,7,left,1,2.9224053,sub-36155221
right,right,speed,NA,NA,NA,4,0,8,right,1,0.9539784,sub-36155221
left,left,speed,NA,NA,NA,4,1,9,left,1,3.3375456,sub-36155221
right,right,speed,NA,NA,NA,5,0,10,right,1,0.8013683,sub-36155221
left,left,speed,NA,NA,NA,5,1,11,right,0,0.4754196,sub-36155221
right,right,speed,NA,NA,NA,6,0,12,right,1,1.1326204,sub-36155221
left,left,speed,NA,NA,NA,6,1,13,left,1,2.3229131,sub-36155221
left,left,speed,NA,NA,NA,7,0,14,left,1,4.2747115,sub-36155221
right,right,speed,NA,NA,NA,7,1,15,right,1,1.4877549,sub-36155221
right,right,speed,NA,NA,NA,8,0,16,right,1,1.0955597,sub-36155221
left,left,speed,NA,NA,NA,8,1,17,left,1,1.4355567,sub-36155221
right,right,speed,NA,NA,NA,9,0,18,left,0,2.2705855,sub-36155221
left,left,speed,NA,NA,NA,9,1,19,left,1,0.7462842,sub-36155221
right,right,speed,NA,NA,NA,10,0,20,right,1,3.915914,sub-36155221
left,left,speed,NA,NA,NA,10,1,21,left,1,1.5558922,sub-36155221
left,left,speed,NA,NA,NA,11,0,22,left,1,3.3252236,sub-36155221
right,right,speed,NA,NA,NA,11,1,23,right,1,3.7048164,sub-36155221
left,left,speed,NA,NA,NA,12,0,24,left,1,1.6499442,sub-36155221
right,right,speed,NA,NA,NA,12,1,25,right,1,2.3880462,sub-36155221
right,right,speed,NA,NA,NA,13,0,26,right,1,4.6172655,sub-36155221
left,left,speed,NA,NA,NA,13,1,27,right,0,1.2013848,sub-36155221
left,left,speed,NA,NA,NA,14,0,28,left,1,2.1542287,sub-36155221
right,right,speed,NA,NA,NA,14,1,29,right,1,1.3193738,sub-36155221
left,left,speed,NA,NA,NA,15,0,30,left,1,0.8330385,sub-36155221
right,right,speed,NA,NA,NA,15,1,31,right,1,0.5927363,sub-36155221
left,left,speed,NA,NA,NA,16,0,32,left,1,0.6070591,sub-36155221
right,right,speed,NA,NA,NA,16,1,33,right,1,1.0700755,sub-36155221
left,left,speed,NA,NA,NA,17,0,34,left,1,0.6628152,sub-36155221
right,right,speed,NA,NA,NA,17,1,35,right,1,0.6311358,sub-36155221
left,left,speed,NA,NA,NA,18,0,36,left,1,0.6627222,sub-36155221
right,right,speed,NA,NA,NA,18,1,37,right,1,0.6743472,sub-36155221
left,left,speed,NA,NA,NA,19,0,38,left,1,0.9298952,sub-36155221
right,right,speed,NA,NA,NA,19,1,39,right,1,0.5798751,sub-36155221
right,right,speed,NA,NA,NA,20,0,40,right,1,0.620675,sub-36155221
left,left,speed,NA,NA,NA,20,1,41,left,1,1.2222932,sub-36155221
left,left,speed,NA,NA,NA,21,0,42,left,1,0.586414,sub-36155221
right,right,speed,NA,NA,NA,21,1,43,right,1,0.5840931,sub-36155221
right,right,speed,NA,NA,NA,22,0,44,right,1,0.6857387,sub-36155221
left,left,speed,NA,NA,NA,22,1,45,left,1,0.6788033,sub-36155221
left,left,speed,NA,NA,NA,23,0,46,left,1,0.5925388,sub-36155221
right,right,speed,NA,NA,NA,23,1,47,right,1,0.7620756,sub-36155221
left,left,speed,NA,NA,NA,24,0,48,left,1,0.909509,sub-36155221
right,right,speed,NA,NA,NA,24,1,49,left,0,1.1745903,sub-36155221
right,right,speed,NA,NA,NA,25,0,50,right,1,0.5986661,sub-36155221
left,left,speed,NA,NA,NA,25,1,51,left,1,2.5865831,sub-36155221
left,left,speed,NA,NA,NA,26,0,52,right,0,1.329586,sub-36155221
right,right,speed,NA,NA,NA,26,1,53,right,1,0.9162667,sub-36155221
right,right,speed,NA,NA,NA,27,0,54,right,1,1.3845022,sub-36155221
left,left,speed,NA,NA,NA,27,1,55,left,1,0.7968198,sub-36155221
right,right,speed,NA,NA,NA,28,0,56,right,1,0.651071,sub-36155221
left,left,speed,NA,NA,NA,28,1,57,left,1,1.4342148,sub-36155221
right,right,speed,NA,NA,NA,29,0,58,right,1,1.6567079,sub-36155221
left,left,speed,NA,NA,NA,29,1,59,right,0,3.2701853,sub-36155221
NA,NA,speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-36155221
left,left,accuracy,NA,NA,NA,0,0,0,left,1,3.6346806,sub-36155221
right,right,accuracy,NA,NA,NA,0,1,1,right,1,2.1314388,sub-36155221
left,left,accuracy,NA,NA,NA,1,0,2,left,1,0.9409291,sub-36155221
right,right,accuracy,NA,NA,NA,1,1,3,right,1,2.0120619,sub-36155221
right,right,accuracy,NA,NA,NA,2,0,4,right,1,0.8852921,sub-36155221
left,left,accuracy,NA,NA,NA,2,1,5,left,1,1.666844,sub-36155221
right,right,accuracy,NA,NA,NA,3,0,6,right,1,2.2240707,sub-36155221
left,left,accuracy,NA,NA,NA,3,1,7,left,1,3.8186968,sub-36155221
left,left,accuracy,NA,NA,NA,4,0,8,left,1,5.6131283,sub-36155221
right,right,accuracy,NA,NA,NA,4,1,9,right,1,1.0328468,sub-36155221
right,right,accuracy,NA,NA,NA,5,0,10,right,1,1.539035,sub-36155221
left,left,accuracy,NA,NA,NA,5,1,11,left,1,2.1075169,sub-36155221
right,right,accuracy,NA,NA,NA,6,0,12,left,0,5.3182019,sub-36155221
left,left,accuracy,NA,NA,NA,6,1,13,left,1,3.3461028,sub-36155221
left,left,accuracy,NA,NA,NA,7,0,14,left,1,2.7777012,sub-36155221
right,right,accuracy,NA,NA,NA,7,1,15,right,1,2.6752005,sub-36155221
right,right,accuracy,NA,NA,NA,8,0,16,right,1,1.7672508,sub-36155221
left,left,accuracy,NA,NA,NA,8,1,17,left,1,2.9514136,sub-36155221
