direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-41533258
right,right,NA,0,0,0,NA,NA,NA,right,1,17.6993281,sub-41533258
left,left,NA,0,1,1,NA,NA,NA,right,0,4.3867131,sub-41533258
right,right,NA,1,0,2,NA,NA,NA,left,0,1.6608128,sub-41533258
left,left,NA,1,1,3,NA,NA,NA,right,0,4.8479967,sub-41533258
right,right,NA,2,0,4,NA,NA,NA,right,1,5.74454,sub-41533258
left,left,NA,2,1,5,NA,NA,NA,right,0,5.7368684,sub-41533258
right,right,NA,3,0,6,NA,NA,NA,left,0,3.4165149,sub-41533258
left,left,NA,3,1,7,NA,NA,NA,right,0,5.6252538,sub-41533258
right,right,NA,4,0,8,NA,NA,NA,right,1,6.0073738,sub-41533258
left,left,NA,4,1,9,NA,NA,NA,left,1,4.0053271,sub-41533258
left,left,NA,5,0,10,NA,NA,NA,left,1,2.7543066,sub-41533258
right,right,NA,5,1,11,NA,NA,NA,right,1,3.5507267,sub-41533258
left,left,NA,6,0,12,NA,NA,NA,left,1,3.5464538,sub-41533258
right,right,NA,6,1,13,NA,NA,NA,right,1,2.4206671,sub-41533258
right,right,NA,7,0,14,NA,NA,NA,left,0,2.0351708,sub-41533258
left,left,NA,7,1,15,NA,NA,NA,left,1,2.450524,sub-41533258
left,left,NA,8,0,16,NA,NA,NA,right,0,3.4308734,sub-41533258
right,right,NA,8,1,17,NA,NA,NA,left,0,1.7382175,sub-41533258
left,left,NA,9,0,18,NA,NA,NA,right,0,2.9783725,sub-41533258
right,right,NA,9,1,19,NA,NA,NA,right,1,3.7762428,sub-41533258
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-41533258
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-41533258
left,left,speed,NA,NA,NA,0,0,0,right,0,1.0651094,sub-41533258
right,right,speed,NA,NA,NA,0,1,1,right,1,2.2304293,sub-41533258
right,right,speed,NA,NA,NA,1,0,2,left,0,1.0143513,sub-41533258
left,left,speed,NA,NA,NA,1,1,3,left,1,1.1085247,sub-41533258
left,left,speed,NA,NA,NA,2,0,4,left,1,1.3678923,sub-41533258
right,right,speed,NA,NA,NA,2,1,5,right,1,1.6009679,sub-41533258
left,left,speed,NA,NA,NA,3,0,6,left,1,2.9618481,sub-41533258
right,right,speed,NA,NA,NA,3,1,7,right,1,1.0703886,sub-41533258
left,left,speed,NA,NA,NA,4,0,8,left,1,0.9147921,sub-41533258
right,right,speed,NA,NA,NA,4,1,9,right,1,1.0607756,sub-41533258
left,left,speed,NA,NA,NA,5,0,10,left,1,1.5276589,sub-41533258
right,right,speed,NA,NA,NA,5,1,11,right,1,1.0886027,sub-41533258
right,right,speed,NA,NA,NA,6,0,12,left,0,1.0940865,sub-41533258
left,left,speed,NA,NA,NA,6,1,13,right,0,0.961063,sub-41533258
right,right,speed,NA,NA,NA,7,0,14,right,1,0.9428056,sub-41533258
left,left,speed,NA,NA,NA,7,1,15,left,1,0.7143795,sub-41533258
left,left,speed,NA,NA,NA,8,0,16,left,1,1.4409432,sub-41533258
right,right,speed,NA,NA,NA,8,1,17,right,1,1.0151721,sub-41533258
right,right,speed,NA,NA,NA,9,0,18,right,1,1.2784956,sub-41533258
left,left,speed,NA,NA,NA,9,1,19,left,1,0.8804118,sub-41533258
right,right,speed,NA,NA,NA,10,0,20,right,1,1.3235782,sub-41533258
left,left,speed,NA,NA,NA,10,1,21,left,1,0.9813754,sub-41533258
left,left,speed,NA,NA,NA,11,0,22,left,1,1.8972551,sub-41533258
right,right,speed,NA,NA,NA,11,1,23,right,1,0.6359233,sub-41533258
right,right,speed,NA,NA,NA,12,0,24,left,0,1.023461,sub-41533258
left,left,speed,NA,NA,NA,12,1,25,right,0,1.6485654,sub-41533258
right,right,speed,NA,NA,NA,13,0,26,right,1,1.6696283,sub-41533258
left,left,speed,NA,NA,NA,13,1,27,left,1,0.7846846,sub-41533258
right,right,speed,NA,NA,NA,14,0,28,left,0,1.4798789,sub-41533258
left,left,speed,NA,NA,NA,14,1,29,left,1,1.236949,sub-41533258
right,right,speed,NA,NA,NA,15,0,30,right,1,0.8829033,sub-41533258
left,left,speed,NA,NA,NA,15,1,31,left,1,0.9649301,sub-41533258
right,right,speed,NA,NA,NA,16,0,32,right,1,0.8200614,sub-41533258
left,left,speed,NA,NA,NA,16,1,33,left,1,1.1186917,sub-41533258
left,left,speed,NA,NA,NA,17,0,34,left,1,1.319769,sub-41533258
right,right,speed,NA,NA,NA,17,1,35,right,1,1.7873353,sub-41533258
right,right,speed,NA,NA,NA,18,0,36,right,1,1.2729876,sub-41533258
left,left,speed,NA,NA,NA,18,1,37,left,1,0.6644271,sub-41533258
left,left,speed,NA,NA,NA,19,0,38,left,1,0.9992943,sub-41533258
right,right,speed,NA,NA,NA,19,1,39,right,1,0.7185061,sub-41533258
left,left,speed,NA,NA,NA,20,0,40,left,1,0.8451366,sub-41533258
right,right,speed,NA,NA,NA,20,1,41,right,1,1.0345445,sub-41533258
left,left,speed,NA,NA,NA,21,0,42,left,1,0.9204762,sub-41533258
right,right,speed,NA,NA,NA,21,1,43,left,0,1.2276413,sub-41533258
right,right,speed,NA,NA,NA,22,0,44,left,0,1.3445967,sub-41533258
left,left,speed,NA,NA,NA,22,1,45,left,1,2.0538152,sub-41533258
left,left,speed,NA,NA,NA,23,0,46,right,0,1.4391743,sub-41533258
right,right,speed,NA,NA,NA,23,1,47,right,1,1.3595224,sub-41533258
left,left,speed,NA,NA,NA,24,0,48,left,1,1.3529126,sub-41533258
right,right,speed,NA,NA,NA,24,1,49,right,1,0.9095368,sub-41533258
left,left,speed,NA,NA,NA,25,0,50,left,1,2.0103885,sub-41533258
right,right,speed,NA,NA,NA,25,1,51,left,0,1.3758186,sub-41533258
right,right,speed,NA,NA,NA,26,0,52,right,1,0.8858075,sub-41533258
left,left,speed,NA,NA,NA,26,1,53,left,1,0.7719393,sub-41533258
left,left,speed,NA,NA,NA,27,0,54,left,1,1.5685277,sub-41533258
right,right,speed,NA,NA,NA,27,1,55,right,1,1.0650123,sub-41533258
right,right,speed,NA,NA,NA,28,0,56,right,1,1.3431856,sub-41533258
left,left,speed,NA,NA,NA,28,1,57,left,1,0.6709636,sub-41533258
right,right,speed,NA,NA,NA,29,0,58,right,1,0.7839739,sub-41533258
left,left,speed,NA,NA,NA,29,1,59,left,1,0.6490021,sub-41533258
NA,NA,speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-41533258
right,right,accuracy,NA,NA,NA,0,0,0,right,1,2.2897221,sub-41533258
left,left,accuracy,NA,NA,NA,0,1,1,left,1,1.0368036,sub-41533258
left,left,accuracy,NA,NA,NA,1,0,2,left,1,1.2270289,sub-41533258
right,right,accuracy,NA,NA,NA,1,1,3,right,1,0.5767052,sub-41533258
right,right,accuracy,NA,NA,NA,2,0,4,left,0,0.9192172,sub-41533258
left,left,accuracy,NA,NA,NA,2,1,5,right,0,1.6082933,sub-41533258
right,right,accuracy,NA,NA,NA,3,0,6,right,1,1.1114262,sub-41533258
left,left,accuracy,NA,NA,NA,3,1,7,left,1,0.9465399,sub-41533258
right,right,accuracy,NA,NA,NA,4,0,8,right,1,1.1226216,sub-41533258
left,left,accuracy,NA,NA,NA,4,1,9,left,1,1.4602747,sub-41533258
left,left,accuracy,NA,NA,NA,5,0,10,left,1,1.2149535,sub-41533258
right,right,accuracy,NA,NA,NA,5,1,11,right,1,0.7519972,sub-41533258
left,left,accuracy,NA,NA,NA,6,0,12,left,1,1.0215239,sub-41533258
right,right,accuracy,NA,NA,NA,6,1,13,left,0,0.9901168,sub-41533258
right,right,accuracy,NA,NA,NA,7,0,14,right,1,0.8449654,sub-41533258
left,left,accuracy,NA,NA,NA,7,1,15,right,0,1.624546,sub-41533258
left,left,accuracy,NA,NA,NA,8,0,16,left,1,1.9181027,sub-41533258
right,right,accuracy,NA,NA,NA,8,1,17,right,1,1.2395891,sub-41533258
left,left,accuracy,NA,NA,NA,9,0,18,left,1,0.8932231,sub-41533258
right,right,accuracy,NA,NA,NA,9,1,19,right,1,0.7046968,sub-41533258
left,left,accuracy,NA,NA,NA,10,0,20,right,0,1.5258222,sub-41533258
right,right,accuracy,NA,NA,NA,10,1,21,right,1,1.0303345,sub-41533258
right,right,accuracy,NA,NA,NA,11,0,22,right,1,1.1815812,sub-41533258
left,left,accuracy,NA,NA,NA,11,1,23,left,1,0.7660005,sub-41533258
right,right,accuracy,NA,NA,NA,12,0,24,right,1,0.7228467,sub-41533258
left,left,accuracy,NA,NA,NA,12,1,25,left,1,1.078766,sub-41533258
right,right,accuracy,NA,NA,NA,13,0,26,right,1,0.9925751,sub-41533258
left,left,accuracy,NA,NA,NA,13,1,27,left,1,0.8697071,sub-41533258
right,right,accuracy,NA,NA,NA,14,0,28,right,1,0.8198151,sub-41533258
left,left,accuracy,NA,NA,NA,14,1,29,left,1,1.1073775,sub-41533258
right,right,accuracy,NA,NA,NA,15,0,30,left,0,1.2704935,sub-41533258
left,left,accuracy,NA,NA,NA,15,1,31,left,1,0.9637579,sub-41533258
left,left,accuracy,NA,NA,NA,16,0,32,left,1,1.6225621,sub-41533258
right,right,accuracy,NA,NA,NA,16,1,33,right,1,1.0898748,sub-41533258
right,right,accuracy,NA,NA,NA,17,0,34,right,1,0.8185275,sub-41533258
left,left,accuracy,NA,NA,NA,17,1,35,right,0,2.032769,sub-41533258
right,right,accuracy,NA,NA,NA,18,0,36,right,1,2.1247954,sub-41533258
left,left,accuracy,NA,NA,NA,18,1,37,left,1,0.712443,sub-41533258
right,right,accuracy,NA,NA,NA,19,0,38,left,0,0.9723733,sub-41533258
left,left,accuracy,NA,NA,NA,19,1,39,left,1,1.7445337,sub-41533258
right,right,accuracy,NA,NA,NA,20,0,40,right,1,0.4733214,sub-41533258
left,left,accuracy,NA,NA,NA,20,1,41,left,1,0.929706,sub-41533258
left,left,accuracy,NA,NA,NA,21,0,42,right,0,0.9242385,sub-41533258
right,right,accuracy,NA,NA,NA,21,1,43,right,1,0.9078309,sub-41533258
right,right,accuracy,NA,NA,NA,22,0,44,left,0,0.658676,sub-41533258
left,left,accuracy,NA,NA,NA,22,1,45,right,0,0.7027033,sub-41533258
left,left,accuracy,NA,NA,NA,23,0,46,left,1,1.4453906,sub-41533258
right,right,accuracy,NA,NA,NA,23,1,47,right,1,1.4805653,sub-41533258
right,right,accuracy,NA,NA,NA,24,0,48,left,0,1.5025742,sub-41533258
left,left,accuracy,NA,NA,NA,24,1,49,left,1,1.0582606,sub-41533258
left,left,accuracy,NA,NA,NA,25,0,50,left,1,0.9760014,sub-41533258
right,right,accuracy,NA,NA,NA,25,1,51,left,0,1.6724518,sub-41533258
right,right,accuracy,NA,NA,NA,26,0,52,right,1,0.7228913,sub-41533258
left,left,accuracy,NA,NA,NA,26,1,53,left,1,1.0228395,sub-41533258
left,left,accuracy,NA,NA,NA,27,0,54,right,0,1.007795,sub-41533258
right,right,accuracy,NA,NA,NA,27,1,55,right,1,1.1433981,sub-41533258
left,left,accuracy,NA,NA,NA,28,0,56,left,1,0.8915927,sub-41533258
right,right,accuracy,NA,NA,NA,28,1,57,right,1,0.9988611,sub-41533258
right,right,accuracy,NA,NA,NA,29,0,58,right,1,0.9774908,sub-41533258
left,left,accuracy,NA,NA,NA,29,1,59,left,1,0.8274457,sub-41533258
NA,NA,accuracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-41533258
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-41533258
