direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29667832
right,right,NA,0,0,0,NA,NA,NA,right,1,3.862230209,sub-29667832
left,left,NA,0,1,1,NA,NA,NA,left,1,1.194797334,sub-29667832
left,left,NA,1,0,2,NA,NA,NA,right,0,0.783666583,sub-29667832
right,right,NA,1,1,3,NA,NA,NA,left,0,1.200314042,sub-29667832
right,right,NA,2,0,4,NA,NA,NA,left,0,0.88958775,sub-29667832
left,left,NA,2,1,5,NA,NA,NA,right,0,0.746385875,sub-29667832
left,left,NA,3,0,6,NA,NA,NA,right,0,1.102971542,sub-29667832
right,right,NA,3,1,7,NA,NA,NA,right,1,0.927711041,sub-29667832
left,left,NA,4,0,8,NA,NA,NA,left,1,0.773120834,sub-29667832
right,right,NA,4,1,9,NA,NA,NA,left,0,0.744647833,sub-29667832
left,left,NA,5,0,10,NA,NA,NA,right,0,1.25882175,sub-29667832
right,right,NA,5,1,11,NA,NA,NA,right,1,1.523972416,sub-29667832
left,left,NA,6,0,12,NA,NA,NA,left,1,1.270132709,sub-29667832
right,right,NA,6,1,13,NA,NA,NA,left,0,0.785807667,sub-29667832
right,right,NA,7,0,14,NA,NA,NA,right,1,0.89860125,sub-29667832
left,left,NA,7,1,15,NA,NA,NA,right,0,0.779275583,sub-29667832
right,right,NA,8,0,16,NA,NA,NA,right,1,0.766964292,sub-29667832
left,left,NA,8,1,17,NA,NA,NA,left,1,0.773850416,sub-29667832
right,right,NA,9,0,18,NA,NA,NA,left,0,0.7785055,sub-29667832
left,left,NA,9,1,19,NA,NA,NA,left,1,0.891001542,sub-29667832
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29667832
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29667832
right,right,speed,NA,NA,NA,0,0,0,right,1,0.500526458,sub-29667832
left,left,speed,NA,NA,NA,0,1,1,left,1,0.576384208,sub-29667832
right,right,speed,NA,NA,NA,1,0,2,right,1,0.643952083,sub-29667832
left,left,speed,NA,NA,NA,1,1,3,right,0,0.783411583,sub-29667832
left,left,speed,NA,NA,NA,2,0,4,left,1,1.048855666,sub-29667832
right,right,speed,NA,NA,NA,2,1,5,left,0,0.801762042,sub-29667832
left,left,speed,NA,NA,NA,3,0,6,right,0,0.870745916,sub-29667832
right,right,speed,NA,NA,NA,3,1,7,left,0,1.040974083,sub-29667832
left,left,speed,NA,NA,NA,4,0,8,left,1,0.871512542,sub-29667832
right,right,speed,NA,NA,NA,4,1,9,left,0,1.235687417,sub-29667832
left,left,speed,NA,NA,NA,5,0,10,right,0,0.753082125,sub-29667832
right,right,speed,NA,NA,NA,5,1,11,left,0,1.327097958,sub-29667832
right,right,speed,NA,NA,NA,6,0,12,right,1,0.903676833,sub-29667832
left,left,speed,NA,NA,NA,6,1,13,left,1,1.332644667,sub-29667832
right,right,speed,NA,NA,NA,7,0,14,right,1,1.746680542,sub-29667832
left,left,speed,NA,NA,NA,7,1,15,right,0,3.518056708,sub-29667832
right,right,speed,NA,NA,NA,8,0,16,right,1,1.1823445,sub-29667832
left,left,speed,NA,NA,NA,8,1,17,left,1,1.104118459,sub-29667832
left,left,speed,NA,NA,NA,9,0,18,right,0,0.833117708,sub-29667832
right,right,speed,NA,NA,NA,9,1,19,left,0,1.090867333,sub-29667832
right,right,speed,NA,NA,NA,10,0,20,right,1,1.1739815,sub-29667832
left,left,speed,NA,NA,NA,10,1,21,left,1,1.099386541,sub-29667832
right,right,speed,NA,NA,NA,11,0,22,right,1,0.612767291,sub-29667832
left,left,speed,NA,NA,NA,11,1,23,right,0,0.658901666,sub-29667832
left,left,speed,NA,NA,NA,12,0,24,left,1,0.993096458,sub-29667832
right,right,speed,NA,NA,NA,12,1,25,left,0,1.080666875,sub-29667832
left,left,speed,NA,NA,NA,13,0,26,left,1,0.818590458,sub-29667832
right,right,speed,NA,NA,NA,13,1,27,right,1,0.899077083,sub-29667832
left,left,speed,NA,NA,NA,14,0,28,left,1,0.875539708,sub-29667832
right,right,speed,NA,NA,NA,14,1,29,right,1,0.977082917,sub-29667832
left,left,speed,NA,NA,NA,15,0,30,left,1,0.731093875,sub-29667832
right,right,speed,NA,NA,NA,15,1,31,left,0,0.784169333,sub-29667832
right,right,speed,NA,NA,NA,16,0,32,left,0,1.058219834,sub-29667832
left,left,speed,NA,NA,NA,16,1,33,right,0,0.774267292,sub-29667832
left,left,speed,NA,NA,NA,17,0,34,right,0,0.663376625,sub-29667832
right,right,speed,NA,NA,NA,17,1,35,right,1,0.839495167,sub-29667832
left,left,speed,NA,NA,NA,18,0,36,right,0,1.20455325,sub-29667832
right,right,speed,NA,NA,NA,18,1,37,left,0,0.753749459,sub-29667832
right,right,speed,NA,NA,NA,19,0,38,left,0,0.958839292,sub-29667832
left,left,speed,NA,NA,NA,19,1,39,right,0,0.966344,sub-29667832
left,left,speed,NA,NA,NA,20,0,40,left,1,0.701197375,sub-29667832
right,right,speed,NA,NA,NA,20,1,41,left,0,0.739728125,sub-29667832
right,right,speed,NA,NA,NA,21,0,42,right,1,0.776610458,sub-29667832
left,left,speed,NA,NA,NA,21,1,43,left,1,0.754186584,sub-29667832
right,right,speed,NA,NA,NA,22,0,44,right,1,0.862660084,sub-29667832
left,left,speed,NA,NA,NA,22,1,45,left,1,0.704590125,sub-29667832
left,left,speed,NA,NA,NA,23,0,46,right,0,0.782581625,sub-29667832
right,right,speed,NA,NA,NA,23,1,47,right,1,0.641356208,sub-29667832
right,right,speed,NA,NA,NA,24,0,48,right,1,1.092199875,sub-29667832
left,left,speed,NA,NA,NA,24,1,49,left,1,1.103995333,sub-29667832
right,right,speed,NA,NA,NA,25,0,50,left,0,1.386605125,sub-29667832
left,left,speed,NA,NA,NA,25,1,51,left,1,1.348747208,sub-29667832
right,right,speed,NA,NA,NA,26,0,52,right,1,0.707031167,sub-29667832
left,left,speed,NA,NA,NA,26,1,53,right,0,0.633252583,sub-29667832
left,left,speed,NA,NA,NA,27,0,54,right,0,0.9463135,sub-29667832
right,right,speed,NA,NA,NA,27,1,55,right,1,1.265913541,sub-29667832
left,left,speed,NA,NA,NA,28,0,56,left,1,1.103949375,sub-29667832
right,right,speed,NA,NA,NA,28,1,57,right,1,1.184152375,sub-29667832
left,left,speed,NA,NA,NA,29,0,58,left,1,1.006026459,sub-29667832
right,right,speed,NA,NA,NA,29,1,59,left,0,1.494456083,sub-29667832
NA,NA,speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-29667832
right,right,accuracy,NA,NA,NA,0,0,0,right,1,0.742753959,sub-29667832
left,left,accuracy,NA,NA,NA,0,1,1,left,1,0.976067417,sub-29667832
left,left,accuracy,NA,NA,NA,1,0,2,left,1,1.041835459,sub-29667832
right,right,accuracy,NA,NA,NA,1,1,3,left,0,0.969238083,sub-29667832
right,right,accuracy,NA,NA,NA,2,0,4,right,1,0.982188667,sub-29667832
left,left,accuracy,NA,NA,NA,2,1,5,right,0,0.945531208,sub-29667832
right,right,accuracy,NA,NA,NA,3,0,6,right,1,1.037923459,sub-29667832
left,left,accuracy,NA,NA,NA,3,1,7,right,0,1.0328485,sub-29667832
right,right,accuracy,NA,NA,NA,4,0,8,left,0,0.684392666,sub-29667832
