direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-92782644
right,right,NA,0,0,0,NA,NA,NA,left,0,1.110090799862519,sub-92782644
left,left,NA,0,1,1,NA,NA,NA,left,1,2.4805270000360906,sub-92782644
left,left,NA,1,0,2,NA,NA,NA,right,0,3.242795499972999,sub-92782644
right,right,NA,1,1,3,NA,NA,NA,right,1,0.8993878997862339,sub-92782644
right,right,NA,2,0,4,NA,NA,NA,left,0,1.078116700053215,sub-92782644
left,left,NA,2,1,5,NA,NA,NA,left,1,2.521520799957216,sub-92782644
right,right,NA,3,0,6,NA,NA,NA,right,1,0.8409510999917984,sub-92782644
left,left,NA,3,1,7,NA,NA,NA,left,1,3.54877209989354,sub-92782644
right,right,NA,4,0,8,NA,NA,NA,right,1,0.9224839000962676,sub-92782644
left,left,NA,4,1,9,NA,NA,NA,left,1,0.6875563999637961,sub-92782644
left,left,NA,5,0,10,NA,NA,NA,left,1,0.6397200999781489,sub-92782644
right,right,NA,5,1,11,NA,NA,NA,right,1,0.5330672999843955,sub-92782644
left,left,NA,6,0,12,NA,NA,NA,left,1,0.6104403999634087,sub-92782644
right,right,NA,6,1,13,NA,NA,NA,right,1,0.5544986999593675,sub-92782644
left,left,NA,7,0,14,NA,NA,NA,left,1,2.6049212999641895,sub-92782644
right,right,NA,7,1,15,NA,NA,NA,right,1,0.9878305001184344,sub-92782644
right,right,NA,8,0,16,NA,NA,NA,right,1,0.705151499947533,sub-92782644
left,left,NA,8,1,17,NA,NA,NA,right,0,0.6559929999057204,sub-92782644
left,left,NA,9,0,18,NA,NA,NA,left,1,0.6311504999175668,sub-92782644
right,right,NA,9,1,19,NA,NA,NA,right,1,1.1183567000553012,sub-92782644
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-92782644
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-92782644
left,left,speed,NA,NA,NA,0,0,0,left,1,0.5693147999700159,sub-92782644
right,right,speed,NA,NA,NA,0,1,1,right,1,0.5317027999553829,sub-92782644
right,right,speed,NA,NA,NA,1,0,2,left,0,0.7670092999469489,sub-92782644
