direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-5241753
left,left,NA,0,0,0,NA,NA,NA,right,0,4.337806062001619,sub-5241753
right,right,NA,0,1,1,NA,NA,NA,right,1,6.188573532999726,sub-5241753
left,left,NA,1,0,2,NA,NA,NA,left,1,1.0285603370066383,sub-5241753
right,right,NA,1,1,3,NA,NA,NA,left,0,1.1253081710019617,sub-5241753
right,right,NA,2,0,4,NA,NA,NA,right,1,1.023288602998946,sub-5241753
left,left,NA,2,1,5,NA,NA,NA,right,0,0.8288482069983729,sub-5241753
right,right,NA,3,0,6,NA,NA,NA,right,1,1.0923707069960074,sub-5241753
left,left,NA,3,1,7,NA,NA,NA,left,1,0.919285267002124,sub-5241753
left,left,NA,4,0,8,NA,NA,NA,left,1,3.2735172520042397,sub-5241753
right,right,NA,4,1,9,NA,NA,NA,right,1,2.0643320420058444,sub-5241753
right,right,NA,5,0,10,NA,NA,NA,left,0,1.3029972220028867,sub-5241753
left,left,NA,5,1,11,NA,NA,NA,left,1,1.9041199659986887,sub-5241753
left,left,NA,6,0,12,NA,NA,NA,right,0,1.0784172539933934,sub-5241753
right,right,NA,6,1,13,NA,NA,NA,right,1,2.313478231000772,sub-5241753
left,left,NA,7,0,14,NA,NA,NA,left,1,1.6335830280004302,sub-5241753
right,right,NA,7,1,15,NA,NA,NA,right,1,2.501343003998045,sub-5241753
left,left,NA,8,0,16,NA,NA,NA,left,1,1.48788620599953,sub-5241753
right,right,NA,8,1,17,NA,NA,NA,right,1,1.5801224289971287,sub-5241753
left,left,NA,9,0,18,NA,NA,NA,left,1,3.629813355997612,sub-5241753
right,right,NA,9,1,19,NA,NA,NA,right,1,1.0623077179989195,sub-5241753
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-5241753
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-5241753
left,left,speed,NA,NA,NA,0,0,0,right,0,0.8629255210034898,sub-5241753
right,right,speed,NA,NA,NA,0,1,1,right,1,0.9287802899998496,sub-5241753
right,right,speed,NA,NA,NA,1,0,2,left,0,1.64191903500614,sub-5241753
left,left,speed,NA,NA,NA,1,1,3,left,1,2.3309465369966347,sub-5241753
right,right,speed,NA,NA,NA,2,0,4,right,1,1.6138347050000448,sub-5241753
left,left,speed,NA,NA,NA,2,1,5,left,1,1.730996532998688,sub-5241753
left,left,speed,NA,NA,NA,3,0,6,left,1,3.0993633390025934,sub-5241753
right,right,speed,NA,NA,NA,3,1,7,right,1,3.0860492079955293,sub-5241753
left,left,speed,NA,NA,NA,4,0,8,left,1,1.9052228840009775,sub-5241753
right,right,speed,NA,NA,NA,4,1,9,right,1,3.621331997004745,sub-5241753
right,right,speed,NA,NA,NA,5,0,10,right,1,1.8184390320020611,sub-5241753
left,left,speed,NA,NA,NA,5,1,11,left,1,1.9482243329985067,sub-5241753
left,left,speed,NA,NA,NA,6,0,12,left,1,2.670721050002612,sub-5241753
right,right,speed,NA,NA,NA,6,1,13,right,1,1.7960197450011035,sub-5241753
right,right,speed,NA,NA,NA,7,0,14,right,1,3.145477758000198,sub-5241753
left,left,speed,NA,NA,NA,7,1,15,left,1,4.650769899002626,sub-5241753
left,left,speed,NA,NA,NA,8,0,16,right,0,1.1262517219947767,sub-5241753
right,right,speed,NA,NA,NA,8,1,17,right,1,1.3817524269979913,sub-5241753
right,right,speed,NA,NA,NA,9,0,18,right,1,3.8799456780034234,sub-5241753
left,left,speed,NA,NA,NA,9,1,19,left,1,5.91686422299972,sub-5241753
left,left,speed,NA,NA,NA,10,0,20,right,0,2.399058602997684,sub-5241753
right,right,speed,NA,NA,NA,10,1,21,right,1,1.8034672930007216,sub-5241753
left,left,speed,NA,NA,NA,11,0,22,right,0,1.7845906340007789,sub-5241753
right,right,speed,NA,NA,NA,11,1,23,left,0,4.269083690996922,sub-5241753
right,right,speed,NA,NA,NA,12,0,24,right,1,2.7856511670033797,sub-5241753
left,left,speed,NA,NA,NA,12,1,25,right,0,1.7359252410024055,sub-5241753
left,left,speed,NA,NA,NA,13,0,26,left,1,2.869606562999252,sub-5241753
right,right,speed,NA,NA,NA,13,1,27,left,0,3.932249842997407,sub-5241753
right,right,speed,NA,NA,NA,14,0,28,left,0,4.2582204490026925,sub-5241753
left,left,speed,NA,NA,NA,14,1,29,left,1,2.0638448509998852,sub-5241753
left,left,speed,NA,NA,NA,15,0,30,right,0,2.242473207996227,sub-5241753
right,right,speed,NA,NA,NA,15,1,31,right,1,4.0567561159987235,sub-5241753
right,right,speed,NA,NA,NA,16,0,32,right,1,4.63558982500399,sub-5241753
left,left,speed,NA,NA,NA,16,1,33,left,1,2.449722893004946,sub-5241753
right,right,speed,NA,NA,NA,17,0,34,right,1,3.811982143000933,sub-5241753
left,left,speed,NA,NA,NA,17,1,35,left,1,0.7988686850003432,sub-5241753
left,left,speed,NA,NA,NA,18,0,36,left,1,0.9836352830025136,sub-5241753
right,right,speed,NA,NA,NA,18,1,37,right,1,1.115229517003172,sub-5241753
left,left,speed,NA,NA,NA,19,0,38,left,1,0.4123540430009598,sub-5241753
right,right,speed,NA,NA,NA,19,1,39,left,0,1.6331770960023275,sub-5241753
left,left,speed,NA,NA,NA,20,0,40,right,0,1.7316606560052603,sub-5241753
right,right,speed,NA,NA,NA,20,1,41,left,0,0.9842435659957118,sub-5241753
left,left,speed,NA,NA,NA,21,0,42,left,1,2.1546695319993887,sub-5241753
right,right,speed,NA,NA,NA,21,1,43,right,1,0.9678083779945156,sub-5241753
right,right,speed,NA,NA,NA,22,0,44,right,1,1.5681003520003287,sub-5241753
left,left,speed,NA,NA,NA,22,1,45,left,1,2.434030183001596,sub-5241753
