wordCTK,colorCTK,corrAnsCTK,congruentCTK,wordPractice,colorPractice,congruentPractice,word,color,corrAns,congruent,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,keyResp_test_run.keys,keyResp_test_run.corr,keyResp_test_run.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,blue,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,red,0,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,yellow,0,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,0,5,5,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,red,0,NA,NA,NA,NA,0,6,6,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,yellow,0,NA,NA,NA,NA,0,7,7,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,0,8,8,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,0,9,9,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,blue,0,NA,NA,NA,NA,0,10,10,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,0,11,11,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,1,0,12,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,1,1,13,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,1,2,14,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,red,0,NA,NA,NA,NA,1,3,15,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,1,4,16,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,1,5,17,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,blue,0,NA,NA,NA,NA,1,6,18,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,yellow,0,NA,NA,NA,NA,1,7,19,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,1,8,20,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,blau,red,0,NA,NA,NA,NA,1,9,21,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,gelb,blue,0,NA,NA,NA,NA,1,10,22,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,rot,yellow,0,NA,NA,NA,NA,1,11,23,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,0,0,0,r,1,1.1374121999833733,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,0,1,1,g,1,0.6453012998681515,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,0,2,2,g,1,0.7158610001206398,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,0,3,3,r,1,0.7798774000257254,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,0,4,4,b,1,1.2823282000608742,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,0,5,5,b,1,0.637037199921906,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,0,6,6,b,1,1.0215185000561178,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,0,7,7,r,1,0.5347730000503361,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,0,8,8,g,1,1.1548186000436544,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,0,9,9,r,1,0.6592041999101639,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,0,10,10,b,1,0.8465291999746114,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,0,11,11,g,1,0.6773991000372916,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,1,0,12,r,1,1.249759699916467,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,1,1,13,g,1,0.7428021000232548,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,1,2,14,r,1,1.2428881998639554,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,1,3,15,g,1,0.8826919000130147,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,1,4,16,b,1,0.4773351999465376,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,1,5,17,b,1,0.6727203000336885,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,1,6,18,b,1,1.4095048001036048,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,1,7,19,g,1,1.0123978999909014,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,1,8,20,g,1,0.941037300042808,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,1,9,21,r,1,0.5443643000908196,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,1,10,22,b,1,1.0517263999208808,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,1,11,23,r,1,0.9312579000834376,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,2,0,24,r,1,0.6516988999210298,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,2,1,25,b,1,0.7355794000905007,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,2,2,26,r,1,1.2900104001164436,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,2,3,27,r,1,0.6380455000326037,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,2,4,28,b,1,0.680557600222528,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,2,5,29,g,1,0.6752605000510812,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,2,6,30,g,1,0.561247400008142,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,2,7,31,r,1,0.5649707999546081,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,2,8,32,b,1,1.0693519001360985,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,2,9,33,b,1,0.5743048000149429,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,2,10,34,g,1,0.5653548000846058,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,2,11,35,g,1,0.5315376999787986,sub-55701127
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,3,0,36,b,1,0.714976100018248,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,3,1,37,g,1,0.5203478999901563,sub-55701127
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,3,2,38,g,1,0.555253499886021,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,3,3,39,r,1,0.37711740005761385,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,3,4,40,g,1,0.6486929999664426,sub-55701127
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,3,5,41,r,1,0.4928021999076009,sub-55701127
