wordCTK,colorCTK,corrAnsCTK,congruentCTK,wordPractice,colorPractice,congruentPractice,word,color,corrAns,congruent,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,keyResp_test_run.keys,keyResp_test_run.corr,keyResp_test_run.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,blue,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,red,r,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
test,yellow,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,yellow,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,red,0,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,blue,0,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,0,5,5,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,yellow,0,NA,NA,NA,NA,0,6,6,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,blue,0,NA,NA,NA,NA,0,7,7,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,red,0,NA,NA,NA,NA,0,8,8,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,0,9,9,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,0,10,10,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,0,11,11,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,red,0,NA,NA,NA,NA,1,0,12,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,yellow,0,NA,NA,NA,NA,1,1,13,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,1,2,14,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,1,3,15,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,1,4,16,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,blue,0,NA,NA,NA,NA,1,5,17,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,blau,blue,1,NA,NA,NA,NA,1,6,18,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,yellow,1,NA,NA,NA,NA,1,7,19,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,blue,0,NA,NA,NA,NA,1,8,20,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,red,1,NA,NA,NA,NA,1,9,21,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,gelb,red,0,NA,NA,NA,NA,1,10,22,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,rot,yellow,0,NA,NA,NA,NA,1,11,23,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,0,0,0,b,1,0.5700542000122368,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,0,1,1,r,1,0.5398293000180274,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,0,2,2,r,1,0.8488100999966264,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,0,3,3,b,1,0.5040747000020929,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,0,4,4,b,1,0.5708777999971062,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,0,5,5,g,1,0.4040060000261292,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,0,6,6,r,1,0.5129967000102624,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,0,7,7,b,1,0.7745154000003822,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,0,8,8,r,1,0.5993085999507457,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,0,9,9,g,1,0.4551375000155531,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,0,10,10,g,1,1.1769588000024669,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,0,11,11,g,1,0.5318368999869563,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,1,0,12,g,1,0.5808327000122517,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,1,1,13,b,1,0.8087342999642715,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,1,2,14,g,1,0.718776700028684,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,1,3,15,r,1,0.6945615999866277,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,1,4,16,b,1,0.6715697000036016,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,1,5,17,r,1,0.5668840000289492,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,1,6,18,g,1,0.5868613000493497,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,1,7,19,r,1,0.7873385000275448,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,1,8,20,g,1,0.6327571999863721,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,1,9,21,b,1,0.5609644000069238,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,1,10,22,r,1,0.5285299000097439,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,1,11,23,g,0,0.977127299993299,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,2,0,24,r,1,0.9354577999911272,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,2,1,25,r,1,0.9807481000316328,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,2,2,26,g,1,0.5788935000309721,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,2,3,27,b,1,0.7186373000149615,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,2,4,28,g,1,0.6312143999966793,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,2,5,29,g,1,0.5492813000455499,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,2,6,30,r,1,0.5926550999865867,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,2,7,31,b,1,0.647820700018201,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,2,8,32,g,1,0.5102747000055388,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,2,9,33,r,1,0.6989689000183716,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,2,10,34,b,1,0.6948978999862447,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,2,11,35,b,1,0.7028217000188306,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,3,0,36,r,1,0.9113694000407122,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,3,1,37,g,1,0.4519303999841213,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,3,2,38,b,1,1.274848600034602,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,3,3,39,g,0,1.0199487000354566,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,3,4,40,b,1,0.5685839000507258,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,3,5,41,b,1,0.6143295000074431,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,3,6,42,r,1,0.6480350000201724,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,3,7,43,g,1,0.6602591999690048,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,3,8,44,r,1,0.7560147999902256,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,3,9,45,g,1,0.6202706000185572,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,3,10,46,r,1,0.6125449999817647,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,3,11,47,g,1,0.6705381000065245,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,4,0,48,r,1,0.6254624000284821,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,4,1,49,r,1,0.6925523999962024,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,4,2,50,b,1,0.5593017999781296,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,4,3,51,g,1,0.742531500000041,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,4,4,52,g,1,0.740417700028047,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,4,5,53,r,1,1.0826945999870077,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,4,6,54,g,1,0.6507859000121243,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,4,7,55,b,1,0.4230653999838978,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,4,8,56,b,1,0.7118857000023127,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,4,9,57,g,1,0.5575555000104941,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,4,10,58,b,1,0.6055731999804266,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,4,11,59,r,1,0.5531260999850929,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,5,0,60,r,1,0.6204007999622263,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,5,1,61,b,1,0.5973978000110947,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,yellow,g,0,NA,NA,NA,5,2,62,g,1,0.6485626999638043,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,yellow,g,0,NA,NA,NA,5,3,63,g,1,0.6368619000422768,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,red,r,0,NA,NA,NA,5,4,64,r,1,0.7527319000218995,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,blue,b,0,NA,NA,NA,5,5,65,b,1,0.8136830999865197,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,red,r,1,NA,NA,NA,5,6,66,r,1,0.8473827000125311,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,5,7,67,b,1,0.6097958000027575,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,5,8,68,b,1,0.6752288999850862,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,5,9,69,g,1,0.5563035000232048,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,red,r,0,NA,NA,NA,5,10,70,r,1,0.7044208999723196,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,5,11,71,g,1,0.4952398000168614,sub-88755755
NA,NA,NA,NA,NA,NA,NA,rot,blue,b,0,NA,NA,NA,6,0,72,b,1,0.6690715000149794,sub-88755755
NA,NA,NA,NA,NA,NA,NA,gelb,yellow,g,1,NA,NA,NA,6,1,73,g,1,0.6537222000188194,sub-88755755
NA,NA,NA,NA,NA,NA,NA,blau,blue,b,1,NA,NA,NA,6,2,74,b,1,0.6045197999919765,sub-88755755
